Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME
3,13.50,13.50,2,13.42,13.42,4,13.52,13.52,1,13.35,13.35
4,10.35,23.85,2,10.15,23.57,1,10.04,23.56,3,10.22,23.57
3,9.46,33.31,1,9.51,33.08,4,9.77,33.33,2,9.61,33.18
3,9.33,42.64,1,9.30,42.38,4,9.46,42.79,2,9.37,42.55
3,8.91,51.55,1,8.98,51.36,4,9.17,51.96,2,8.94,51.49
3,8.94,1:00.49,1,8.97,1:00.33,4,9.26,1:01.22,2,8.92,1:00.41
3,8.97,1:09.46,2,9.04,1:09.37,4,9.60,1:10.82,1,8.93,1:09.34
2,9.45,1:18.91,3,9.67,1:19.04,4,9.93,1:20.75,1,9.23,1:18.57
3,9.70,1:28.605,2,9.56,1:28.600,4,10.24,1:30.989,1,9.58,1:28.145
