Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,YANG A Yang POSITION,YANG A Yang LAP TIME,YANG A Yang ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Tania VICENT POSITION,Tania VICENT LAP TIME,Tania VICENT ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME
1,8.689,8.689,4,9.264,9.264,3,8.844,8.844,5,9.429,9.429,2,8.795,8.795
1,12.573,21.262,4,12.444,21.707,3,12.784,21.627,5,12.514,21.943,2,12.613,21.408
1,12.356,33.618,4,12.370,34.077,3,12.369,33.996,5,12.314,34.256,2,12.294,33.701
1,12.205,45.822,4,12.208,46.284,3,12.142,46.137,5,12.214,46.470,2,12.207,45.907
3,11.770,57.592,1,11.197,57.480,4,11.691,57.828,5,11.582,58.051,2,11.683,57.590
4,10.921,1:08.512,1,10.897,1:08.377,3,10.684,1:08.511,5,10.690,1:08.740,2,10.907,1:08.496
2,9.991,1:18.502,1,10.106,1:18.482,4,10.208,1:18.719,5,10.239,1:18.979,3,10.195,1:18.690
2,10.162,1:28.663,1,10.113,1:28.595,3,10.162,1:28.881,5,10.152,1:29.130,4,10.202,1:28.892
5,10.747,1:39.410,1,10.230,1:38.824,2,10.159,1:39.039,3,10.141,1:39.271,4,10.386,1:39.278
2,9.759,1:49.169,1,10.272,1:49.096,3,10.314,1:49.353,5,10.270,1:49.541,4,10.236,1:49.514
2,10.107,1:59.276,1,10.170,1:59.265,4,10.467,1:59.820,3,10.143,1:59.683,5,10.453,1:59.967
2,10.248,2:09.523,1,10.126,2:09.391,5,10.851,2:10.670,3,10.249,2:09.931,4,10.564,2:10.530
2,10.237,2:19.760,1,10.251,2:19.642,5,11.194,2:21.864,3,10.464,2:20.395,4,11.072,2:21.602
2,11.27,2:31.030,1,10.72,2:30.358,5,11.82,2:33.681,3,10.72,2:31.113,4,11.53,2:33.124
