PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME
3,12.43,12.43,1,12.17,12.17,2,12.32,12.32,5,12.71,12.71,4,12.52,12.52
3,9.46,21.89,1,9.46,21.63,2,9.45,21.77,5,9.43,22.14,4,9.46,21.98
4,9.20,31.09,1,9.25,30.88,2,9.23,31.00,5,9.15,31.29,3,9.10,31.08
4,9.13,40.22,1,9.09,39.97,2,9.08,40.08,5,9.06,40.35,3,9.07,40.15
4,9.02,49.24,1,8.99,48.96,3,9.02,49.10,5,9.02,49.37,2,8.94,49.09
4,8.83,58.07,1,8.85,57.81,3,8.88,57.98,5,8.85,58.22,2,8.79,57.88
4,8.94,1:07.01,1,8.95,1:06.76,3,8.98,1:06.96,5,8.82,1:07.04,2,8.99,1:06.87
3,8.77,1:15.78,2,8.99,1:15.75,4,8.83,1:15.79,5,9.10,1:16.14,1,8.83,1:15.70
2,9.07,1:24.85,5,9.40,1:25.154,0,9.16,1:24.95,4,8.84,1:24.983,1,9.08,1:24.78
