SELLIER Diane POSITION,SELLIER Diane LAP TIME,SELLIER Diane ELAPSED TIME,TREACY Niall POSITION,TREACY Niall LAP TIME,TREACY Niall ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME,Georgi ORLOV POSITION,Georgi ORLOV LAP TIME,Georgi ORLOV ELAPSED TIME,Ryuta INOUE POSITION,Ryuta INOUE LAP TIME,Ryuta INOUE ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,LIN Chun-Chieh POSITION,LIN Chun-Chieh LAP TIME,LIN Chun-Chieh ELAPSED TIME
3,8.57,8.57,1,8.21,8.21,4,8.69,8.69,5,8.83,,6,9.08,9.08,2,8.37,8.37,7,9.17,9.17
4,11.62,20.19,2,11.82,20.03,5,11.52,20.21,6,11.47,,1,10.84,19.92,3,11.73,20.10,7,11.33,20.50
3,11.04,31.23,3,11.20,31.23,5,11.18,31.39,6,11.19,,1,11.12,31.04,2,11.02,31.12,7,11.22,31.72
4,11.29,42.52,3,11.16,42.39,5,11.22,42.61,6,11.25,,1,11.16,42.20,2,11.19,42.31,7,11.17,42.89
3,10.79,53.31,4,11.06,53.45,5,10.93,53.54,6,10.91,,1,10.90,53.10,2,10.89,53.20,7,10.86,53.75
3,10.63,1:03.94,4,10.59,1:04.04,5,10.58,1:04.12,6,10.52,,2,10.70,1:03.80,1,10.58,1:03.78,7,10.62,1:04.37
3,9.92,1:13.86,6,10.33,1:14.37,5,10.13,1:14.25,7,17.20,,2,9.97,1:13.77,1,9.91,1:13.69,4,9.86,1:14.23
3,9.39,1:23.25,6,9.97,1:24.34,5,9.39,1:23.64,7,15.59,,2,9.31,1:23.08,1,9.33,1:23.02,4,9.33,1:23.56
3,9.17,1:32.42,6,9.78,1:34.12,4,9.07,1:32.71,7,11.91,,1,9.13,1:32.21,2,9.30,1:32.32,5,9.38,1:32.94
3,9.34,1:41.76,6,10.18,1:44.30,4,9.20,1:41.91,7,12.04,,2,9.45,1:41.66,1,9.26,1:41.58,5,9.56,1:42.50
3,9.55,1:51.31,6,10.62,1:54.92,4,9.50,1:51.41,7,11.15,,2,9.53,1:51.19,1,9.56,1:51.14,5,10.05,1:52.55
4,10.49,2:01.80,6,11.18,2:06.10,3,9.75,2:01.16,7,11.45,,1,9.66,2:00.85,2,9.84,2:00.98,5,10.47,2:03.02
7,34.90,2:36.70,5,11.61,2:17.71,3,10.10,2:11.26,6,12.11,,1,10.06,2:10.91,2,10.16,2:11.14,4,11.11,2:14.13
7,16.74,2:53.44,4,11.95,2:29.66,2,10.39,2:21.65,6,12.19,,1,10.32,2:21.23,5,25.80,2:36.94,3,11.92,2:26.05
