NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME
3,9.78,9.78,4,9.97,9.97,1,9.65,9.65,2,9.75,9.75,5,10.08,10.08
3,13.99,23.77,4,13.98,23.95,2,13.97,23.62,1,13.85,23.60,5,14.00,24.08
3,11.74,35.51,4,11.65,35.60,2,11.60,35.22,1,11.42,35.02,5,11.64,35.72
3,10.52,46.03,4,10.55,46.15,2,10.45,45.67,1,10.52,45.54,5,10.54,46.26
4,10.14,56.17,5,10.12,56.27,2,10.24,55.91,1,10.29,55.83,3,9.79,56.05
4,10.19,1:06.36,5,10.23,1:06.50,2,10.21,1:06.12,1,10.18,1:06.01,3,10.21,1:06.26
4,9.95,1:16.31,5,9.90,1:16.40,2,9.96,1:16.08,1,9.95,1:15.96,3,9.93,1:16.19
5,9.72,1:26.03,4,9.60,1:26.00,2,9.75,1:25.83,1,9.75,1:25.71,3,9.74,1:25.93
5,9.71,1:35.74,4,9.66,1:35.66,2,9.68,1:35.51,1,9.69,1:35.40,3,9.64,1:35.57
5,9.51,1:45.25,2,9.45,1:45.11,4,9.68,1:45.19,3,9.79,1:45.19,1,9.21,1:44.78
4,9.91,1:55.16,2,9.33,1:54.44,3,9.43,1:54.62,5,11.07,1:56.26,1,8.84,1:53.62
4,9.45,2:04.61,2,9.45,2:03.89,3,9.48,2:04.10,5,10.84,2:07.10,1,8.98,2:02.60
4,9.50,2:14.11,2,9.65,2:13.54,3,9.70,2:13.80,5,11.25,2:18.35,1,9.18,2:11.78
4,9.69,2:23.795,2,9.91,2:23.450,3,9.89,2:23.687,0,,PEN,1,9.43,2:21.202
