Jing Feng XU POSITION,Jing Feng XU LAP TIME,Jing Feng XU ELAPSED TIME,Thibault METRAUX POSITION,Thibault METRAUX LAP TIME,Thibault METRAUX ELAPSED TIME,Augustin GERE POSITION,Augustin GERE LAP TIME,Augustin GERE ELAPSED TIME,Sean Qi Jun YEO POSITION,Sean Qi Jun YEO LAP TIME,Sean Qi Jun YEO ELAPSED TIME,SUN Long POSITION,SUN Long LAP TIME,SUN Long ELAPSED TIME,Krystian GISZKA POSITION,Krystian GISZKA LAP TIME,Krystian GISZKA ELAPSED TIME
5,10.05,10.05,2,9.80,9.80,1,9.77,9.77,3,9.91,9.91,6,10.38,10.38,4,10.04,10.04
4,13.92,23.97,1,13.93,23.73,3,14.17,23.94,2,13.92,23.83,6,14.12,24.50,5,14.14,24.18
3,12.79,36.76,5,13.09,36.82,1,12.52,36.46,2,12.77,36.60,6,12.78,37.28,3,12.58,36.76
5,11.29,48.05,4,11.14,47.96,2,11.34,47.80,2,11.20,47.80,6,11.09,48.37,1,10.94,47.70
4,11.00,59.05,5,11.20,59.16,3,11.03,58.83,2,10.99,58.79,6,10.94,59.31,1,11.06,58.76
5,10.48,1:09.53,4,10.31,1:09.47,1,10.44,1:09.27,2,10.59,1:09.38,6,10.45,1:09.76,3,10.70,1:09.46
4,10.63,1:20.16,3,10.57,1:20.04,1,10.54,1:19.81,2,10.56,1:19.94,6,10.81,1:20.57,5,10.80,1:20.26
4,10.27,1:30.43,3,10.32,1:30.36,1,10.32,1:30.13,2,10.31,1:30.25,6,10.26,1:30.83,5,10.24,1:30.50
5,10.36,1:40.79,2,10.18,1:40.54,1,10.29,1:40.42,3,10.32,1:40.57,6,10.19,1:41.02,4,10.21,1:40.71
6,10.02,1:50.81,4,10.06,1:50.60,1,9.77,1:50.19,2,9.73,1:50.30,5,9.77,1:50.79,3,9.76,1:50.47
6,9.93,2:00.74,5,9.63,2:00.23,1,9.54,1:59.73,2,9.45,1:59.75,3,9.11,1:59.90,4,9.48,1:59.95
6,10.25,2:10.99,5,9.70,2:09.93,3,9.59,2:09.32,2,9.50,2:09.25,1,8.96,2:08.86,4,9.58,2:09.53
6,10.78,2:21.77,5,9.99,2:19.92,2,9.51,2:18.83,3,9.80,2:19.05,1,9.03,2:17.89,4,9.78,2:19.31
6,11.00,2:32.77,5,10.26,2:30.18,2,9.85,2:28.68,3,9.91,2:28.96,1,9.35,2:27.24,4,10.24,2:29.55
