CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,April SHIN POSITION,April SHIN LAP TIME,April SHIN ELAPSED TIME,Yuna KOIKE POSITION,Yuna KOIKE LAP TIME,Yuna KOIKE ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME
5,10.94,10.94,2,10.28,10.28,1,10.12,10.12,3,10.51,10.51,4,10.76,10.76
4,14.72,25.66,2,15.17,25.45,1,15.25,25.37,3,14.99,25.50,5,14.91,25.67
4,14.53,40.19,3,14.60,40.05,2,14.50,39.87,1,14.26,39.76,5,14.65,40.32
4,13.43,53.62,3,13.48,53.53,2,13.49,53.36,1,13.47,53.23,5,13.41,53.73
1,12.15,1:05.77,5,12.60,1:06.13,4,12.60,1:05.96,3,12.63,1:05.86,2,12.07,1:05.80
3,11.31,1:17.08,1,10.71,1:16.84,4,11.21,1:17.17,5,11.32,1:17.18,2,11.10,1:16.90
3,11.01,1:28.09,1,10.86,1:27.70,4,11.02,1:28.19,5,11.15,1:28.33,2,10.99,1:27.89
3,10.65,1:38.74,1,10.83,1:38.53,4,10.56,1:38.75,5,10.61,1:38.94,2,10.72,1:38.61
4,10.88,1:49.62,1,10.82,1:49.35,3,10.78,1:49.53,5,10.79,1:49.73,2,10.82,1:49.43
1,9.83,1:59.45,2,10.11,1:59.46,4,10.11,1:59.64,4,9.91,1:59.64,3,10.10,1:59.53
1,9.16,2:08.61,2,9.52,2:08.98,5,9.70,2:09.34,4,9.60,2:09.24,3,9.51,2:09.04
1,9.43,2:18.04,3,9.72,2:18.70,5,9.59,2:18.93,4,9.52,2:18.76,2,9.45,2:18.49
1,9.65,2:27.69,3,9.80,2:28.50,5,9.93,2:28.86,4,9.98,2:28.74,2,9.42,2:27.91
1,9.95,2:37.64,3,9.79,2:38.29,0,10.10,2:38.96,0,10.20,2:38.94,2,9.78,2:37.69
