Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Liam O'BRIEN POSITION,Liam O'BRIEN LAP TIME,Liam O'BRIEN ELAPSED TIME,LI Kongchao POSITION,LI Kongchao LAP TIME,LI Kongchao ELAPSED TIME
2,8.71,8.71,1,8.62,8.62,3,8.85,8.85,4,9.03,9.03,5,9.21,9.21,6,9.50,9.50
1,11.50,20.21,2,11.71,20.33,3,11.58,20.43,5,11.48,20.51,6,11.46,20.67,4,10.97,20.47
1,10.16,30.37,2,10.12,30.45,5,10.31,30.74,4,10.21,30.72,6,10.28,30.95,3,10.09,30.56
1,10.28,40.65,2,10.26,40.71,5,10.25,40.99,4,10.18,40.90,6,10.20,41.15,3,10.20,40.76
1,10.22,50.87,2,10.28,50.99,5,10.41,51.40,4,10.38,51.28,6,10.41,51.56,3,10.37,51.13
1,9.74,1:00.61,2,9.74,1:00.73,5,9.80,1:01.20,4,9.78,1:01.06,6,9.77,1:01.33,3,9.82,1:00.95
1,9.48,1:10.09,2,9.43,1:10.16,5,9.41,1:10.61,4,9.40,1:10.46,6,9.42,1:10.75,3,9.35,1:10.30
1,9.42,1:19.51,2,9.43,1:19.59,6,9.69,1:20.30,4,9.36,1:19.82,5,9.35,1:20.10,3,9.38,1:19.68
3,9.60,1:29.11,1,9.27,1:28.86,6,9.54,1:29.84,4,9.41,1:29.23,5,9.45,1:29.55,2,9.39,1:29.07
5,9.79,1:38.90,1,9.46,1:38.32,6,9.59,1:39.43,3,9.26,1:38.49,4,9.34,1:38.89,2,9.39,1:38.46
5,9.95,1:48.85,2,9.28,1:47.60,6,9.91,1:49.34,1,9.03,1:47.52,4,9.41,1:48.30,3,9.37,1:47.83
5,10.15,1:59.00,2,9.10,1:56.70,6,10.74,2:00.08,1,9.10,1:56.62,4,9.58,1:57.88,3,9.50,1:57.33
5,10.35,2:09.35,1,9.05,2:05.75,6,11.68,2:11.76,2,9.25,2:05.87,4,9.84,2:07.72,3,9.77,2:07.10
5,10.82,2:20.17,1,9.43,2:15.18,6,12.14,2:23.90,2,9.50,2:15.37,4,10.05,2:17.77,3,10.10,2:17.20
