ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Yoan GAUTHIER POSITION,Yoan GAUTHIER LAP TIME,Yoan GAUTHIER ELAPSED TIME
1,16.18,16.18,2,16.32,16.32,3,16.53,16.53,4,16.69,16.69
1,11.96,28.14,2,11.97,28.29,3,11.97,28.50,4,11.93,28.62
2,11.04,39.18,3,10.94,39.23,1,10.65,39.15,4,10.68,39.30
3,9.70,48.88,2,9.52,48.75,1,9.53,48.68,4,9.70,49.00
3,9.03,57.91,1,8.83,57.58,2,9.05,57.73,4,9.02,58.02
3,8.72,1:06.63,1,8.63,1:06.21,2,8.60,1:06.33,4,8.72,1:06.74
4,8.87,1:15.50,1,8.70,1:14.91,2,8.58,1:14.91,3,8.50,1:15.24
4,9.10,1:24.60,2,8.75,1:23.66,1,8.53,1:23.44,3,8.82,1:24.06
4,9.53,1:34.121,2,9.09,1:32.745,1,8.77,1:32.203,3,9.77,1:33.821
