GUO Wei POSITION,GUO Wei LAP TIME,GUO Wei ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME
2,15.247,15.247,1,15.075,15.075,3,15.268,15.268
1,10.020,25.266,2,10.729,25.804,3,10.566,25.833
2,10.413,35.679,1,9.820,35.623,3,9.850,35.682
1,9.277,44.956,2,9.354,44.977,3,9.426,45.108
1,9.256,54.212,2,9.370,54.347,3,9.330,54.438
1,9.607,1:03.818,2,9.514,1:03.861,3,9.453,1:03.891
1,9.180,1:12.997,3,9.490,1:13.350,2,9.227,1:13.117
2,9.404,1:22.401,3,9.290,1:22.639,1,9.206,1:22.323
3,9.91,1:32.307,2,9.55,1:32.182,1,9.48,1:31.802
