Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME
1,8.29,8.29,3,8.41,8.41,5,8.69,8.69,2,8.40,8.40,6,8.93,8.93,4,8.58,8.58
1,11.43,19.72,3,11.57,19.98,5,11.56,20.25,2,11.44,19.84,6,11.45,20.38,4,11.54,20.12
1,11.02,30.74,3,10.98,30.96,5,10.95,31.20,2,11.01,30.85,6,10.94,31.32,4,10.98,31.10
1,10.81,41.55,3,10.79,41.75,6,10.76,41.96,2,10.80,41.65,5,10.56,41.88,4,10.74,41.84
1,10.16,51.71,3,10.13,51.88,6,10.12,52.08,2,10.15,51.80,4,10.03,51.91,5,10.12,51.96
1,10.24,1:01.95,3,10.29,1:02.17,5,10.37,1:02.45,2,10.26,1:02.06,6,10.68,1:02.59,4,10.33,1:02.29
1,10.24,1:12.19,3,10.32,1:12.49,5,10.28,1:12.73,2,10.31,1:12.37,6,10.34,1:12.93,4,10.31,1:12.60
1,9.98,1:22.17,3,9.92,1:22.41,5,9.92,1:22.65,2,9.92,1:22.29,6,9.98,1:22.91,4,9.84,1:22.44
1,9.60,1:31.77,3,9.58,1:31.99,5,9.67,1:32.32,2,9.58,1:31.87,6,10.00,1:32.91,4,9.66,1:32.10
1,9.53,1:41.30,3,9.55,1:41.54,5,9.58,1:41.90,2,9.55,1:41.42,6,10.33,1:43.24,4,9.54,1:41.64
1,9.47,1:50.77,3,9.71,1:51.25,5,9.71,1:51.61,2,9.47,1:50.89,6,10.95,1:54.19,4,9.67,1:51.31
1,9.46,2:00.23,4,10.08,2:01.33,5,10.01,2:01.62,2,9.46,2:00.35,6,11.69,2:05.88,3,9.93,2:01.24
1,9.66,2:09.89,4,10.42,2:11.75,5,10.23,2:11.85,2,9.70,2:10.05,6,12.31,2:18.19,3,9.97,2:11.21
1,9.83,2:19.716,4,10.48,2:22.229,5,10.42,2:22.261,2,10.00,2:20.049,6,13.22,2:31.408,3,10.45,2:21.655
