KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,Dinmukhammed ZHOLDAS POSITION,Dinmukhammed ZHOLDAS LAP TIME,Dinmukhammed ZHOLDAS ELAPSED TIME,Denali BLUNDEN POSITION,Denali BLUNDEN LAP TIME,Denali BLUNDEN ELAPSED TIME,Julian MACARAEG POSITION,Julian MACARAEG LAP TIME,Julian MACARAEG ELAPSED TIME,SEJPAL Zdenek POSITION,SEJPAL Zdenek LAP TIME,SEJPAL Zdenek ELAPSED TIME
2,7.09,7.09,1,7.00,7.00,4,7.43,7.43,3,7.21,7.21,5,7.55,7.55
2,9.08,16.17,1,9.10,16.10,5,9.35,16.78,3,9.08,16.29,4,9.17,16.72
1,8.74,24.91,2,8.88,24.98,5,9.04,25.82,3,8.76,25.05,4,8.71,25.43
1,8.62,33.53,3,8.91,33.89,5,9.00,34.82,2,8.74,33.79,4,8.78,34.21
1,8.67,42.20,3,8.85,42.74,5,9.20,44.02,2,8.83,42.62,4,9.00,43.21
