Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME,Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
1,6.740,6.740,2,6.824,6.824,4,7.025,7.025,3,6.902,6.902
2,9.121,15.860,3,9.078,15.901,4,9.373,16.398,1,8.847,15.749
3,9.420,25.280,2,9.266,25.167,4,9.068,25.466,1,8.816,24.564
3,8.899,34.178,2,8.416,33.583,4,9.042,34.508,1,8.822,33.385
3,9.37,43.547,2,9.44,43.023,4,9.69,44.189,1,9.38,42.759
