Petra JASIC POSITION,Petra JASIC LAP TIME,Petra JASIC ELAPSED TIME,Teresa Moreno BALAGUER POSITION,Teresa Moreno BALAGUER LAP TIME,Teresa Moreno BALAGUER ELAPSED TIME,Samra SELIMBEGOVIC POSITION,Samra SELIMBEGOVIC LAP TIME,Samra SELIMBEGOVIC ELAPSED TIME,Kalina GIUROVA POSITION,Kalina GIUROVA LAP TIME,Kalina GIUROVA ELAPSED TIME,Anja OBRADOVIC POSITION,Anja OBRADOVIC LAP TIME,Anja OBRADOVIC ELAPSED TIME
3,14.94,14.94,1,14.70,14.70,5,15.13,15.13,2,14.80,14.80,4,15.05,15.05
3,11.83,26.77,1,11.87,26.57,5,11.88,27.01,2,11.87,26.67,4,11.82,26.87
3,11.79,38.56,1,11.83,38.40,5,11.76,38.77,2,11.82,38.49,4,11.81,38.68
3,11.77,50.33,1,11.75,50.15,5,11.73,50.50,2,11.74,50.23,4,11.74,50.42
3,11.52,1:01.85,2,11.67,1:01.82,5,11.60,1:02.10,1,11.28,1:01.51,4,11.46,1:01.88
2,10.89,1:12.74,5,11.68,1:13.50,4,10.89,1:12.99,1,11.04,1:12.55,3,10.93,1:12.81
3,11.25,1:23.99,5,11.26,1:24.76,4,11.12,1:24.11,1,11.35,1:23.90,2,11.12,1:23.93
2,11.64,1:35.63,5,11.59,1:36.35,3,11.68,1:35.79,4,11.93,1:35.83,1,11.17,1:35.10
2,11.25,1:46.856,5,11.60,1:47.913,3,11.42,1:47.189,4,11.75,1:47.552,1,11.28,1:46.360
