Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Matteo COMPAGNONI POSITION,Matteo COMPAGNONI LAP TIME,Matteo COMPAGNONI ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME
1,13.16,13.16,3,13.38,13.38,4,13.47,13.47,2,13.24,13.24
1,10.60,23.76,3,10.51,23.89,4,10.60,24.07,2,10.64,23.88
1,10.00,33.76,2,9.96,33.85,4,9.99,34.06,3,10.07,33.95
2,9.59,43.35,3,9.61,43.46,4,9.55,43.61,1,9.29,43.24
1,9.11,52.46,3,9.20,52.66,4,9.15,52.76,2,9.30,52.54
1,9.24,1:01.70,3,9.23,1:01.89,4,9.21,1:01.97,2,9.25,1:01.79
1,9.16,1:10.86,3,9.18,1:11.07,4,9.24,1:11.21,2,9.16,1:10.95
1,9.27,1:20.13,4,32.07,1:43.14,3,9.27,1:20.48,2,9.41,1:20.36
1,9.40,1:29.528,4,34.42,2:17.559,3,9.53,1:30.003,2,9.46,1:29.813
