Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME
4,10.83,,2,10.57,10.57,6,11.01,11.01,3,10.77,10.77,5,10.96,10.96,1,10.53,10.53
5,14.01,,3,14.14,24.71,5,13.83,24.84,2,13.78,24.55,4,13.77,24.73,1,13.95,24.48
6,11.70,,5,11.72,36.43,1,11.25,36.09,4,11.80,36.35,2,11.48,36.21,3,11.83,36.31
6,10.72,,5,10.73,47.16,2,10.77,46.86,1,10.42,46.77,3,10.75,46.96,4,10.74,47.05
6,10.87,,5,10.85,58.01,2,10.93,57.79,1,10.94,57.71,4,10.96,57.92,3,10.75,57.80
6,10.49,,5,10.44,1:08.45,2,10.28,1:08.07,1,10.27,1:07.98,4,10.40,1:08.32,3,10.44,1:08.24
6,10.09,,5,10.05,1:18.50,2,10.24,1:18.31,1,10.19,1:18.17,4,10.11,1:18.43,3,10.11,1:18.35
6,10.03,,3,9.83,1:28.33,4,10.17,1:28.48,1,9.90,1:28.07,5,10.11,1:28.54,2,9.90,1:28.25
6,9.78,,3,9.91,1:38.24,4,9.87,1:38.35,1,9.88,1:37.95,5,9.90,1:38.44,2,9.83,1:38.08
5,9.59,,3,9.72,1:47.96,4,9.70,1:48.05,1,9.79,1:47.74,6,9.73,1:48.17,2,9.73,1:47.81
3,9.39,,4,9.59,1:57.55,5,9.62,1:57.67,1,9.50,1:57.24,6,9.55,1:57.72,2,9.56,1:57.37
3,9.58,,4,9.76,2:07.31,6,9.77,2:07.44,1,9.66,2:06.90,5,9.61,2:07.33,2,9.59,2:06.96
2,10.19,,4,10.11,2:17.42,3,9.84,2:17.28,1,9.84,2:16.74,6,19.11,2:26.44,5,10.75,2:17.71
3,10.26,,3,10.90,2:28.323,2,10.23,2:27.519,1,10.04,2:26.782,4,13.91,2:40.356,5,35.01,2:52.727
