KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME
1,12.38,12.38,2,12.51,12.51,3,12.69,12.69,4,12.84,12.84
1,9.41,21.79,2,9.35,21.86,3,9.26,21.95,4,9.30,22.14
1,9.36,31.15,2,9.38,31.24,3,9.39,31.34,4,9.46,31.60
1,9.12,40.27,2,9.17,40.41,3,9.15,40.49,4,8.99,40.59
1,9.01,49.28,2,8.97,49.38,3,9.01,49.50,4,9.03,49.62
1,9.05,58.33,2,9.04,58.42,3,9.02,58.52,4,9.03,58.65
1,8.98,1:07.31,2,9.03,1:07.45,3,9.06,1:07.58,4,9.11,1:07.76
1,9.09,1:16.40,2,9.03,1:16.48,3,9.00,1:16.58,4,8.96,1:16.72
1,9.21,1:25.61,2,9.19,1:25.67,3,9.17,1:25.75,4,9.21,1:25.93
1,9.07,1:34.68,2,9.12,1:34.79,3,9.13,1:34.88,4,9.03,1:34.96
1,8.86,1:43.54,2,8.91,1:43.70,3,8.93,1:43.81,4,8.99,1:43.95
1,8.89,1:52.43,2,8.82,1:52.52,3,8.76,1:52.57,4,8.81,1:52.76
1,8.87,2:01.30,2,8.93,2:01.45,3,9.00,2:01.57,4,8.99,2:01.75
1,8.98,2:10.28,2,8.91,2:10.36,3,8.88,2:10.45,4,8.99,2:10.74
1,9.15,2:19.43,2,9.16,2:19.52,3,9.18,2:19.63,4,9.05,2:19.79
1,8.64,2:28.07,2,8.74,2:28.26,3,8.72,2:28.35,4,8.75,2:28.54
1,8.54,2:36.61,2,8.49,2:36.75,3,8.50,2:36.85,4,8.53,2:37.07
1,8.46,2:45.07,2,8.46,2:45.21,3,8.43,2:45.28,4,8.62,2:45.69
1,8.53,2:53.60,2,8.50,2:53.71,3,8.65,2:53.93,4,8.75,2:54.44
1,8.57,3:02.17,2,8.59,3:02.30,3,8.55,3:02.48,4,8.59,3:03.03
1,8.85,3:11.02,2,8.76,3:11.06,3,8.60,3:11.08,4,8.47,3:11.50
1,8.66,3:19.68,3,8.90,3:19.96,2,8.73,3:19.81,4,8.55,3:20.05
1,8.59,3:28.27,3,8.51,3:28.47,2,8.55,3:28.36,4,8.62,3:28.67
1,8.52,3:36.79,2,8.43,3:36.90,3,8.61,3:36.97,4,8.71,3:37.38
1,8.49,3:45.28,3,9.15,3:46.05,2,8.53,3:45.50,4,8.71,3:46.09
1,8.51,3:53.79,3,8.44,3:54.49,2,8.80,3:54.30,4,8.90,3:54.99
1,8.65,4:02.44,3,8.35,4:02.84,2,8.38,4:02.68,4,8.60,4:03.59
2,8.79,4:11.23,3,8.63,4:11.47,1,8.54,4:11.22,4,8.42,4:12.01
2,8.79,4:20.02,3,8.64,4:20.11,1,8.68,4:19.90,4,8.74,4:20.75
2,8.45,4:28.47,3,8.52,4:28.63,1,8.50,4:28.40,4,8.77,4:29.52
2,8.67,4:37.14,3,8.63,4:37.26,1,8.66,4:37.06,4,8.88,4:38.40
2,8.73,4:45.87,3,8.67,4:45.93,1,8.65,4:45.71,4,8.68,4:47.08
2,8.73,4:54.60,3,8.77,4:54.70,1,8.69,4:54.40,4,8.52,4:55.60
2,8.60,5:03.20,3,8.73,5:03.43,1,8.66,5:03.06,4,8.28,5:03.88
2,8.69,5:11.89,3,8.61,5:12.04,1,8.71,5:11.77,4,9.04,5:12.92
2,8.53,5:20.42,3,8.53,5:20.57,1,8.58,5:20.35,4,9.01,5:21.93
4,11.88,5:32.30,2,8.91,5:29.48,1,8.82,5:29.17,3,9.07,5:31.00
4,11.97,5:44.27,2,8.64,5:38.12,1,8.70,5:37.87,3,8.46,5:39.46
4,8.83,5:53.10,2,8.34,5:46.46,1,8.55,5:46.42,3,9.17,5:48.63
4,9.21,6:02.31,2,9.00,5:55.46,1,8.94,5:55.36,3,8.74,5:57.37
4,8.88,6:11.19,1,9.04,6:04.50,2,9.23,6:04.59,3,8.90,6:06.27
4,9.81,6:21.00,2,9.05,6:13.55,1,8.86,6:13.45,3,9.20,6:15.47
4,9.31,6:30.31,2,8.84,6:22.39,1,8.93,6:22.38,3,9.11,6:24.58
4,9.88,6:40.19,1,8.55,6:30.94,2,8.81,6:31.19,3,9.00,6:33.58
4,9.71,6:49.895,1,8.41,6:39.343,2,8.53,6:39.715,3,9.70,6:43.280
