Trevor Xu Xuan TAN POSITION,Trevor Xu Xuan TAN LAP TIME,Trevor Xu Xuan TAN ELAPSED TIME,LIN Chun-Chieh POSITION,LIN Chun-Chieh LAP TIME,LIN Chun-Chieh ELAPSED TIME,GALIAKHMETOV Adil POSITION,GALIAKHMETOV Adil LAP TIME,GALIAKHMETOV Adil ELAPSED TIME,Tarik OMERAGIC POSITION,Tarik OMERAGIC LAP TIME,Tarik OMERAGIC ELAPSED TIME
3,16.62,16.62,2,16.53,16.53,1,16.41,16.41,4,16.76,16.76
3,11.73,28.35,2,11.77,28.30,1,11.80,28.21,4,11.73,28.49
2,10.57,38.92,3,10.69,38.99,1,10.60,38.81,4,10.54,39.03
3,10.14,49.06,4,10.21,49.20,2,10.15,48.96,1,9.80,48.83
3,9.69,58.75,4,9.76,58.96,2,9.68,58.64,1,9.62,58.45
3,9.17,1:07.92,4,9.42,1:08.38,2,9.17,1:07.81,1,9.28,1:07.73
2,9.17,1:17.09,4,9.17,1:17.55,1,9.14,1:16.95,2,9.36,1:17.09
2,9.37,1:26.46,4,9.36,1:26.91,1,9.20,1:26.15,3,9.60,1:26.69
2,9.51,1:35.972,4,9.81,1:36.721,1,9.31,1:35.464,3,9.79,1:36.483
