DROGAYTSEVA Victoria POSITION,DROGAYTSEVA Victoria LAP TIME,DROGAYTSEVA Victoria ELAPSED TIME,CSILIP Rita POSITION,CSILIP Rita LAP TIME,CSILIP Rita ELAPSED TIME,TSOMO Sonam POSITION,TSOMO Sonam LAP TIME,TSOMO Sonam ELAPSED TIME,PARK Sun-Young POSITION,PARK Sun-Young LAP TIME,PARK Sun-Young ELAPSED TIME
1,8.291,8.291,2,8.498,8.498,4,9.513,9.513,3,8.778,8.778
1,10.592,18.883,3,10.951,19.449,4,13.016,22.528,2,10.555,19.333
1,10.436,29.318,3,10.869,30.318,4,13.001,35.529,2,10.237,29.569
2,10.478,39.795,3,11.226,41.544,4,13.611,49.139,1,10.094,39.663
2,10.32,50.114,3,11.52,53.055,4,14.02,1:03.150,1,10.04,49.703
