Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME
1,6.97,6.97,2,7.09,7.09,3,7.18,7.18,4,7.30,7.30,5,7.48,7.48
1,8.86,15.83,2,8.83,15.92,3,8.84,16.02,4,8.87,16.17,5,8.81,16.29
1,8.39,24.22,2,8.39,24.31,3,8.36,24.38,4,8.33,24.50,5,8.33,24.62
2,8.62,32.84,1,8.44,32.75,3,8.54,32.92,4,8.46,32.96,5,8.53,33.15
2,8.67,41.51,1,8.70,41.45,3,8.64,41.545,4,8.77,41.708,5,8.69,41.825
