Ryan BEDFORD POSITION,Ryan BEDFORD LAP TIME,Ryan BEDFORD ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME
3,13.12,13.12,2,12.88,12.88,1,12.60,12.60,4,13.15,13.15
3,10.00,23.12,1,9.98,22.86,2,10.36,22.97,4,10.04,23.20
4,10.12,33.24,2,10.20,33.06,1,10.01,32.98,3,10.00,33.20
3,9.81,43.06,2,9.93,42.99,1,9.88,42.87,4,9.91,43.12
3,9.21,52.28,1,9.13,52.13,2,9.39,52.26,4,9.55,52.67
3,8.94,1:01.22,1,8.96,1:01.09,2,8.94,1:01.20,4,8.95,1:01.63
3,8.99,1:10.22,1,8.98,1:10.08,2,8.96,1:10.17,4,9.73,1:11.36
1,8.87,1:19.09,2,9.01,1:19.10,3,8.96,1:19.13,4,11.98,1:23.35
0,,DQ,1,9.36,1:28.458,2,9.51,1:28.637,3,10.36,1:33.703
