Valerie LAMBERT POSITION,Valerie LAMBERT LAP TIME,Valerie LAMBERT ELAPSED TIME,NOH Ah Rum POSITION,NOH Ah Rum LAP TIME,NOH Ah Rum ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME
2,15.556,15.556,4,15.668,15.668,1,15.379,15.379,3,15.583,15.583
3,11.325,26.881,4,12.021,27.689,1,11.208,26.586,2,11.197,26.781
3,11.360,38.241,4,10.764,38.453,1,11.210,37.797,2,11.369,38.150
2,10.963,49.204,4,11.061,49.514,1,11.335,49.131,3,11.238,49.388
2,10.044,59.248,4,10.013,59.527,1,10.018,59.150,3,9.966,59.355
2,9.994,1:09.242,4,10.010,1:09.537,1,10.076,1:09.225,3,9.943,1:09.298
1,9.799,1:19.041,2,9.512,1:19.049,3,9.856,1:19.082,4,9.820,1:19.118
2,9.797,1:28.838,1,9.346,1:28.395,3,9.969,1:29.050,4,9.974,1:29.092
2,10.003,1:38.841,1,9.682,1:38.077,3,10.233,1:39.283,4,10.241,1:39.333
