START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,season,competition,event,gender,round,race
1,9.44,,2,9.54,9.54,6,9.93,9.93,7,10.09,10.09,4,9.77,9.77,3,9.69,9.69,5,9.91,9.91,8,10.10,10.10,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,w,Heats,4
2,12.86,,4,12.83,22.37,7,12.88,22.81,3,12.25,22.34,6,12.92,22.69,5,12.89,22.58,1,12.30,22.21,8,12.73,22.83,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,w,Heats,4
3,11.33,,5,11.40,33.77,8,11.43,34.24,2,11.18,33.52,7,11.42,34.11,6,11.40,33.98,3,11.42,33.63,1,10.68,33.51,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,w,Heats,4
3,11.10,,5,11.11,44.88,8,10.97,45.21,2,11.16,44.68,7,11.00,45.11,6,11.04,45.02,4,11.17,44.80,1,11.07,44.58,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,w,Heats,4
2,11.61,,5,11.77,56.65,8,11.82,57.03,3,11.75,56.43,7,11.80,56.91,6,11.81,56.83,4,11.70,56.50,1,11.74,56.32,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,w,Heats,4
1,10.59,,5,10.51,1:07.16,8,10.51,1:07.54,3,10.65,1:07.08,7,10.51,1:07.42,6,10.45,1:07.28,4,10.61,1:07.11,2,10.69,1:07.01,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,w,Heats,4
2,10.39,,5,10.35,1:17.51,8,10.32,1:17.86,3,10.34,1:17.42,7,10.33,1:17.75,6,10.34,1:17.62,4,10.38,1:17.49,1,10.26,1:17.27,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,w,Heats,4
2,10.54,,4,10.54,1:28.05,8,10.64,1:28.50,3,10.55,1:27.97,7,10.66,1:28.41,5,10.57,1:28.19,6,10.81,1:28.30,1,10.51,1:27.78,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,w,Heats,4
2,10.44,,5,10.53,1:38.58,8,10.54,1:39.04,3,10.45,1:38.42,7,10.48,1:38.89,4,10.25,1:38.44,6,10.57,1:38.87,1,10.41,1:38.19,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,w,Heats,4
3,10.04,,6,10.10,1:48.68,7,9.73,1:48.77,5,10.09,1:48.51,4,9.59,1:48.48,1,9.78,1:48.22,8,10.46,1:49.33,2,10.05,1:48.24,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,w,Heats,4
8,25.58,,6,10.26,1:58.94,3,9.64,1:58.41,4,10.00,1:58.51,1,9.33,1:57.81,2,9.74,1:57.96,7,10.85,2:00.18,5,10.28,1:58.52,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,w,Heats,4
8,16.53,,6,10.58,2:09.52,3,9.82,2:08.23,5,10.56,2:09.07,1,9.46,2:07.27,2,9.83,2:07.79,7,11.36,2:11.54,4,10.43,2:08.95,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,w,Heats,4
8,14.59,2:45.04,6,10.83,2:20.35,3,10.10,2:18.33,5,10.65,2:19.72,1,9.98,2:17.25,2,10.10,2:17.89,7,11.76,2:23.30,4,10.55,2:19.50,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,w,Heats,4
,,,6,10.84,2:31.19,3,10.42,2:28.75,5,10.84,2:30.56,1,9.90,2:27.15,2,10.57,2:28.46,7,12.21,2:35.51,4,10.97,2:30.47,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,w,Heats,4
