START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
1,13.21,13.21,3,13.32,13.32,4,13.39,13.39,2,13.30,13.30,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1000m(1),m,Heats,4
3,10.34,23.55,2,10.20,23.52,4,10.27,23.66,1,10.16,23.46,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1000m(1),m,Heats,4
3,10.18,33.73,1,10.05,33.57,4,10.18,33.84,2,10.18,33.64,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1000m(1),m,Heats,4
1,9.59,43.32,4,10.00,43.57,3,9.67,43.51,2,9.79,43.43,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1000m(1),m,Heats,4
1,9.85,53.17,4,9.88,53.45,3,9.79,53.30,2,9.77,53.20,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1000m(1),m,Heats,4
1,9.48,1:02.65,4,9.47,1:02.92,3,9.55,1:02.85,2,9.57,1:02.77,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1000m(1),m,Heats,4
1,9.59,1:12.24,4,9.50,1:12.42,3,9.53,1:12.38,2,9.58,1:12.35,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1000m(1),m,Heats,4
1,9.51,1:21.75,4,9.64,1:22.06,3,9.59,1:21.97,2,9.61,1:21.96,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1000m(1),m,Heats,4
1,9.65,1:31.394,0,,PEN,3,10.01,1:31.980,2,9.57,1:31.526,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1000m(1),m,Heats,4
