START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,season,competition,event,gender,round,race
1,10.040,1:00.640,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1000m,w,Semifinals,1
1,10.160,1:10.810,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1000m,w,Semifinals,1
1,9.910,1:20.720,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1000m,w,Semifinals,1
1,9.160,1:29.880,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1000m,w,Semifinals,1
1,9.160,1:39.050,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1000m,w,Semifinals,1
