START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,season,competition,event,gender,round,race
1,10.07,10.07,4,10.53,10.53,2,10.16,,7,10.90,10.90,3,10.37,10.37,6,10.78,10.78,5,10.64,10.64,8,11.08,11.08,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Semifinals,1
3,16.18,26.25,7,16.02,26.55,5,16.23,,2,15.31,26.21,4,15.97,26.34,8,15.86,26.64,6,15.78,26.42,1,15.02,26.10,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Semifinals,1
2,12.98,39.23,6,13.03,39.58,5,13.18,,4,13.28,39.49,3,13.05,39.39,8,13.24,39.88,7,13.28,39.70,1,12.95,39.05,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Semifinals,1
4,12.10,51.33,1,11.53,51.11,2,11.63,,6,12.03,51.52,5,12.03,51.42,8,11.88,51.76,7,11.95,51.65,3,12.16,51.21,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Semifinals,1
5,11.42,1:02.75,2,11.40,1:02.51,1,11.22,,6,11.39,1:02.91,4,11.26,1:02.68,8,11.39,1:03.15,7,11.33,1:02.98,3,11.41,1:02.62,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Semifinals,1
4,11.00,1:13.75,1,10.96,1:13.47,2,11.14,,6,11.18,1:14.09,5,11.23,1:13.91,8,11.16,1:14.31,7,11.19,1:14.17,3,11.06,1:13.68,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Semifinals,1
3,10.44,1:24.19,2,10.68,1:24.15,4,10.71,,5,10.27,1:24.36,7,10.46,1:24.37,8,10.23,1:24.54,5,10.19,1:24.36,1,10.36,1:24.04,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Semifinals,1
1,9.62,1:33.81,4,9.98,1:34.13,5,9.95,,3,9.71,1:34.07,8,10.13,1:34.50,7,9.90,1:34.44,6,9.93,1:34.29,2,9.98,1:34.02,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Semifinals,1
1,9.44,1:43.25,4,9.47,1:43.60,5,9.48,,2,9.31,1:43.38,8,9.56,1:44.06,7,9.43,1:43.87,6,9.45,1:43.74,3,9.49,1:43.51,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Semifinals,1
1,9.36,1:52.61,4,9.33,1:52.93,5,9.35,,2,9.34,1:52.72,8,9.27,1:53.33,6,9.21,1:53.08,7,9.42,1:53.16,3,9.30,1:52.81,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Semifinals,1
2,9.40,2:02.01,5,9.43,2:02.36,6,9.40,,1,9.11,2:01.83,8,9.34,2:02.67,4,9.22,2:02.30,7,9.32,2:02.48,3,9.42,2:02.23,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Semifinals,1
2,9.41,2:11.42,5,9.68,2:12.04,8,24.40,,1,9.16,2:10.99,7,9.52,2:12.19,3,9.33,2:11.63,6,9.57,2:12.05,4,9.65,2:11.88,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Semifinals,1
3,9.75,2:21.17,6,9.68,2:21.72,8,25.29,,1,9.33,2:20.32,7,9.57,2:21.76,2,9.47,2:21.10,4,9.52,2:21.57,5,9.70,2:21.58,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Semifinals,1
0,9.90,2:31.07,5,9.86,2:31.589,,,,1,9.61,2:29.93,6,9.92,2:31.685,0,9.96,2:31.06,4,9.68,2:31.25,7,10.46,2:32.043,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1500m,w,Semifinals,1
