START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,START_POS_9 POSITION,START_POS_9 LAP TIME,START_POS_9 ELAPSED TIME,START_POS_10 POSITION,START_POS_10 LAP TIME,START_POS_10 ELAPSED TIME,START_POS_11 POSITION,START_POS_11 LAP TIME,START_POS_11 ELAPSED TIME,START_POS_12 POSITION,START_POS_12 LAP TIME,START_POS_12 ELAPSED TIME,START_POS_13 POSITION,START_POS_13 LAP TIME,START_POS_13 ELAPSED TIME,START_POS_14 POSITION,START_POS_14 LAP TIME,START_POS_14 ELAPSED TIME,START_POS_15 POSITION,START_POS_15 LAP TIME,START_POS_15 ELAPSED TIME,START_POS_16 POSITION,START_POS_16 LAP TIME,START_POS_16 ELAPSED TIME,START_POS_17 POSITION,START_POS_17 LAP TIME,START_POS_17 ELAPSED TIME,START_POS_18 POSITION,START_POS_18 LAP TIME,START_POS_18 ELAPSED TIME,START_POS_19 POSITION,START_POS_19 LAP TIME,START_POS_19 ELAPSED TIME,season,competition,event,gender,round,race
2,8.08,8.08,4,8.22,8.22,3,8.13,8.13,1,7.97,7.97,6,8.54,8.54,5,8.36,8.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepSemifinals,3
3,11.99,20.07,2,11.77,19.99,4,12.03,20.16,1,11.96,19.93,,,,5,11.93,20.29,6,11.90,20.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepSemifinals,3
3,11.09,31.16,2,11.07,31.06,4,11.09,31.25,1,11.07,31.00,,,,,,,5,10.90,31.34,6,11.06,31.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepSemifinals,3
1,10.45,41.61,3,10.66,41.72,4,10.60,41.85,2,10.62,41.62,,,,,,,,,,6,10.75,42.10,5,10.65,41.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepSemifinals,3
1,10.42,52.03,2,10.39,52.11,4,10.41,52.26,3,10.50,52.12,,,,,,,,,,,,,5,10.41,52.40,6,10.42,52.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepSemifinals,3
1,10.13,1:02.16,3,10.20,1:02.31,4,10.17,1:02.43,2,10.11,1:02.23,,,,,,,,,,,,,,,,6,10.08,1:02.60,5,10.12,1:02.52,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepSemifinals,3
1,10.68,1:12.84,3,10.76,1:13.07,4,10.71,1:13.14,2,10.77,1:13.00,,,,,,,,,,,,,,,,,,,5,10.65,1:13.17,6,10.64,1:13.24,,,,,,,,,,,,,,,,,,,,,,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepSemifinals,3
2,10.14,1:22.98,3,9.97,1:23.04,4,10.00,1:23.14,1,9.89,1:22.89,,,,,,,,,,,,,,,,,,,,,,5,9.91,1:23.15,6,10.17,1:23.34,,,,,,,,,,,,,,,,,,,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepSemifinals,3
2,9.79,1:32.77,6,10.09,1:33.13,3,9.76,1:32.90,1,9.80,1:32.69,,,,,,,,,,,,,,,,,,,,,,,,,5,9.76,1:33.10,4,9.81,1:32.96,,,,,,,,,,,,,,,,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepSemifinals,3
2,9.65,1:42.42,6,9.62,1:42.75,3,9.60,1:42.50,1,9.63,1:42.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9.67,1:42.63,4,9.42,1:42.52,,,,,,,,,,,,,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepSemifinals,3
