START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,season,competition,event,gender,round,race
2,13.164,13.164,1,13.011,13.011,3,13.462,13.462,2003-2004,"2004 World Junior Championships, China",2000MRelay,w,Heats,3
2,10.549,23.713,1,10.573,23.584,3,10.970,24.431,2003-2004,"2004 World Junior Championships, China",2000MRelay,w,Heats,3
1,9.989,33.701,2,10.282,33.866,3,10.231,34.662,2003-2004,"2004 World Junior Championships, China",2000MRelay,w,Heats,3
2,10.242,43.942,1,9.905,43.771,3,11.685,46.347,2003-2004,"2004 World Junior Championships, China",2000MRelay,w,Heats,3
2,10.218,54.160,1,10.086,53.856,3,11.290,57.636,2003-2004,"2004 World Junior Championships, China",2000MRelay,w,Heats,3
1,10.299,1:04.459,2,10.674,1:04.529,3,10.788,1:08.423,2003-2004,"2004 World Junior Championships, China",2000MRelay,w,Heats,3
2,10.274,1:14.732,1,10.130,1:14.659,3,11.133,1:19.556,2003-2004,"2004 World Junior Championships, China",2000MRelay,w,Heats,3
2,10.366,1:25.098,1,10.272,1:24.931,3,10.378,1:29.934,2003-2004,"2004 World Junior Championships, China",2000MRelay,w,Heats,3
2,10.174,1:35.272,1,10.056,1:34.986,3,12.087,1:42.020,2003-2004,"2004 World Junior Championships, China",2000MRelay,w,Heats,3
1,10.439,1:45.710,2,12.126,1:47.112,3,11.130,1:53.150,2003-2004,"2004 World Junior Championships, China",2000MRelay,w,Heats,3
2,10.252,1:55.961,1,8.757,1:55.868,3,11.103,2:04.252,2003-2004,"2004 World Junior Championships, China",2000MRelay,w,Heats,3
1,10.204,2:06.165,2,10.375,2:06.242,3,11.078,2:15.330,2003-2004,"2004 World Junior Championships, China",2000MRelay,w,Heats,3
1,10.189,2:16.354,2,10.196,2:16.437,3,10.738,2:26.067,2003-2004,"2004 World Junior Championships, China",2000MRelay,w,Heats,3
2,10.229,2:26.583,1,10.056,2:26.493,3,13.060,2:39.127,2003-2004,"2004 World Junior Championships, China",2000MRelay,w,Heats,3
1,10.138,2:36.721,2,10.396,2:36.888,3,11.391,2:50.518,2003-2004,"2004 World Junior Championships, China",2000MRelay,w,Heats,3
1,10.164,2:46.885,2,10.086,2:46.974,3,11.115,3:01.632,2003-2004,"2004 World Junior Championships, China",2000MRelay,w,Heats,3
1,9.757,2:56.641,2,9.973,2:56.947,3,10.825,3:12.457,2003-2004,"2004 World Junior Championships, China",2000MRelay,w,Heats,3
1,9.82,3:06.453,2,10.16,3:07.099,3,10.95,3:23.398,2003-2004,"2004 World Junior Championships, China",2000MRelay,w,Heats,3
