START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,season,competition,event,gender,round,race
1,9.19,9.19,6,9.54,9.54,2,9.31,9.31,7,9.61,9.61,8,9.62,9.62,4,9.41,9.41,3,9.31,9.31,5,9.46,9.46,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,m,Semifinals,1
2,12.32,21.51,8,12.47,22.01,3,12.28,21.59,6,12.21,21.82,1,11.66,21.28,4,12.28,21.69,7,12.57,21.88,5,12.25,21.71,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,m,Semifinals,1
6,11.53,33.04,4,10.87,32.88,5,11.40,32.99,8,11.57,33.39,3,11.55,32.83,1,10.98,32.67,2,10.94,32.82,7,11.51,33.22,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,m,Semifinals,1
7,10.98,44.02,2,10.75,43.63,3,10.68,43.67,8,10.80,44.19,4,10.95,43.78,1,10.74,43.41,5,11.07,43.89,6,10.78,44.00,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,m,Semifinals,1
6,10.84,54.86,3,10.97,54.60,4,11.01,54.68,8,10.96,55.15,2,10.81,54.59,1,11.07,54.48,5,10.89,54.78,7,10.94,54.94,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,m,Semifinals,1
2,9.58,1:04.44,4,10.07,1:04.67,5,10.08,1:04.76,8,9.89,1:05.04,1,9.74,1:04.33,3,10.06,1:04.54,6,9.98,1:04.76,7,9.93,1:04.87,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,m,Semifinals,1
2,9.98,1:14.42,5,9.97,1:14.64,7,10.02,1:14.78,6,9.71,1:14.75,1,9.97,1:14.30,4,9.98,1:14.52,3,9.75,1:14.51,8,10.01,1:14.88,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,m,Semifinals,1
3,9.70,1:24.12,5,9.69,1:24.33,7,9.73,1:24.51,1,9.00,1:23.75,2,9.68,1:23.98,6,9.83,1:24.35,4,9.68,1:24.19,8,9.72,1:24.60,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,m,Semifinals,1
3,9.18,1:33.30,4,9.33,1:33.66,6,9.31,1:33.82,2,9.35,1:33.10,1,9.11,1:33.09,8,9.70,1:34.05,5,9.47,1:33.66,7,9.43,1:34.03,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,m,Semifinals,1
3,9.33,1:42.63,4,9.10,1:42.76,5,9.23,1:43.05,2,9.39,1:42.49,1,9.39,1:42.48,8,10.15,1:44.20,6,9.62,1:43.28,7,9.33,1:43.36,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,m,Semifinals,1
2,9.19,1:51.82,4,9.25,1:52.01,5,9.43,1:52.48,1,9.10,1:51.59,3,9.47,1:51.95,8,10.95,1:55.15,7,9.97,1:53.25,6,9.49,1:52.85,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,m,Semifinals,1
2,9.23,2:01.05,3,9.12,2:01.13,5,9.25,2:01.73,1,9.11,2:00.70,4,9.31,2:01.26,8,11.87,2:07.02,7,11.00,2:04.25,6,9.85,2:02.70,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,m,Semifinals,1
2,9.37,2:10.42,3,9.29,2:10.42,5,9.12,2:10.85,1,9.20,2:09.90,4,9.54,2:10.80,8,12.41,2:19.43,7,11.65,2:15.90,6,10.53,2:13.23,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,m,Semifinals,1
4,9.61,2:20.021,2,9.39,2:19.802,3,9.17,2:20.017,1,9.51,2:19.407,5,10.15,2:20.947,8,12.20,2:31.627,7,12.00,2:27.891,6,11.96,2:25.187,2012-2013,"2013 ISU World Championships, Debrecen (HUN)",1500m,m,Semifinals,1
