START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,13.67,13.67,4,13.91,13.91,3,13.76,13.76,5,14.03,14.03,2,13.70,13.70,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1000m,w,Heats,5
3,10.21,23.88,4,10.15,24.06,1,9.91,23.67,5,10.13,24.16,2,10.16,23.86,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1000m,w,Heats,5
3,10.23,34.11,4,10.17,34.23,1,10.24,33.91,5,10.16,34.32,2,10.16,34.02,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1000m,w,Heats,5
3,10.37,44.48,4,10.38,44.61,1,10.36,44.27,5,10.39,44.71,2,10.37,44.39,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1000m,w,Heats,5
3,10.26,54.74,4,10.35,54.96,1,10.20,54.47,5,10.27,54.98,2,10.22,54.61,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1000m,w,Heats,5
3,9.70,1:04.44,5,9.93,1:04.89,1,9.78,1:04.25,4,9.59,1:04.57,2,9.73,1:04.34,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1000m,w,Heats,5
3,9.65,1:14.09,5,10.12,1:15.01,1,9.66,1:13.91,4,9.64,1:14.21,2,9.65,1:13.99,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1000m,w,Heats,5
3,9.68,1:23.77,5,10.43,1:25.44,1,9.67,1:23.58,4,9.71,1:23.92,2,9.68,1:23.67,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1000m,w,Heats,5
3,9.84,1:33.61,5,10.84,1:36.28,1,9.95,1:33.53,4,9.94,1:33.86,2,9.91,1:33.58,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1000m,w,Heats,5
