START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
2,7.70,7.70,2,7.70,7.70,1,7.45,7.45,4,7.83,7.83,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),500m,w,Heats,4
4,10.03,17.73,2,9.51,17.21,1,9.47,16.92,3,9.66,17.49,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),500m,w,Heats,4
4,9.27,27.00,2,8.92,26.13,1,9.12,26.04,3,9.09,26.58,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),500m,w,Heats,4
4,9.42,36.42,2,9.20,35.33,1,9.19,35.23,3,9.22,35.80,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),500m,w,Heats,4
4,9.55,45.97,2,9.45,44.78,1,9.46,44.69,3,9.59,45.39,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),500m,w,Heats,4
