START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,8.693,8.693,2,8.550,8.550,5,9.029,9.029,4,8.926,8.926,1,8.478,8.478,2004-2005,"2005 World Juniors, Serbia and Montenegro",1500M,m,Heats,6
2,12.749,21.442,3,13.029,21.579,5,12.965,21.993,4,12.690,21.616,1,12.904,21.381,2004-2005,"2005 World Juniors, Serbia and Montenegro",1500M,m,Heats,6
3,12.897,34.339,2,12.610,34.188,5,12.775,34.768,4,12.959,34.574,1,12.670,34.050,2004-2005,"2005 World Juniors, Serbia and Montenegro",1500M,m,Heats,6
3,12.867,47.205,1,12.883,47.070,5,12.693,47.461,4,12.869,47.443,2,13.083,47.133,2004-2005,"2005 World Juniors, Serbia and Montenegro",1500M,m,Heats,6
2,12.476,59.680,4,12.784,59.854,5,12.533,59.993,3,12.398,59.840,1,12.451,59.584,2004-2005,"2005 World Juniors, Serbia and Montenegro",1500M,m,Heats,6
3,11.295,1:10.975,2,11.091,1:10.944,5,11.240,1:11.233,4,11.181,1:11.020,1,11.061,1:10.645,2004-2005,"2005 World Juniors, Serbia and Montenegro",1500M,m,Heats,6
2,10.443,1:21.418,3,10.606,1:21.549,5,10.642,1:21.875,4,10.644,1:21.664,1,10.501,1:21.146,2004-2005,"2005 World Juniors, Serbia and Montenegro",1500M,m,Heats,6
3,10.320,1:31.737,2,10.048,1:31.596,5,10.406,1:32.281,4,10.301,1:31.965,1,10.320,1:31.465,2004-2005,"2005 World Juniors, Serbia and Montenegro",1500M,m,Heats,6
2,10.263,1:42.000,3,10.549,1:42.145,4,9.930,1:42.210,5,10.416,1:42.381,1,10.413,1:41.877,2004-2005,"2005 World Juniors, Serbia and Montenegro",1500M,m,Heats,6
2,10.002,1:52.002,3,10.132,1:52.277,5,11.184,1:53.393,4,10.839,1:53.219,1,10.050,1:51.927,2004-2005,"2005 World Juniors, Serbia and Montenegro",1500M,m,Heats,6
1,9.556,2:01.557,3,9.704,2:01.981,5,11.366,2:04.759,4,11.217,2:04.436,2,9.961,2:01.887,2004-2005,"2005 World Juniors, Serbia and Montenegro",1500M,m,Heats,6
3,10.972,2:12.529,1,10.093,2:12.073,5,11.384,2:16.143,4,11.349,2:15.784,2,10.186,2:12.073,2004-2005,"2005 World Juniors, Serbia and Montenegro",1500M,m,Heats,6
1,9.713,2:22.242,3,10.376,2:22.449,5,11.822,2:27.964,4,11.957,2:27.741,2,10.184,2:22.257,2004-2005,"2005 World Juniors, Serbia and Montenegro",1500M,m,Heats,6
2,10.79,2:33.026,1,10.51,2:32.958,4,12.30,2:40.255,5,12.64,2:40.379,3,10.81,2:33.058,2004-2005,"2005 World Juniors, Serbia and Montenegro",1500M,m,Heats,6
