START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,season,competition,event,gender,round,race
7,8.30,8.30,2,7.91,7.91,3,8.01,8.01,3,8.01,8.01,5,8.17,8.17,1,7.68,7.68,8,8.50,8.50,6,8.27,8.27,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Heats,1
7,11.21,19.51,2,11.08,18.99,4,11.17,19.18,3,11.09,19.10,5,11.05,19.22,1,11.18,18.86,8,11.13,19.63,6,11.00,19.27,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Heats,1
7,10.08,29.59,4,10.26,29.25,2,9.79,28.97,3,10.01,29.11,6,10.23,29.45,5,10.48,29.34,8,10.07,29.70,1,9.50,28.77,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Heats,1
8,9.80,39.39,4,9.81,39.06,2,9.92,38.89,3,9.85,38.96,6,9.75,39.20,5,9.77,39.11,6,9.50,39.20,1,10.00,38.77,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Heats,1
8,10.10,49.49,6,10.23,49.29,3,10.01,48.90,4,10.05,49.01,7,10.21,49.41,5,10.02,49.13,2,9.59,48.79,1,9.91,48.68,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Heats,1
8,9.97,59.46,6,9.99,59.28,3,10.14,59.04,4,10.11,59.12,7,9.96,59.37,5,10.06,59.19,2,10.17,58.96,1,10.16,58.84,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Heats,1
7,10.47,1:09.93,6,10.56,1:09.84,4,10.47,1:09.51,3,10.37,1:09.49,8,10.58,1:09.95,5,10.49,1:09.68,2,10.44,1:09.40,1,10.44,1:09.28,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Heats,1
7,9.63,1:19.56,6,9.62,1:19.46,4,9.66,1:19.17,1,9.44,1:18.93,8,9.77,1:19.72,5,9.63,1:19.31,3,9.61,1:19.01,2,9.72,1:19.00,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Heats,1
7,9.23,1:28.79,6,9.23,1:28.69,4,9.30,1:28.47,1,9.22,1:28.15,8,9.24,1:28.96,5,9.27,1:28.58,2,9.21,1:28.22,3,9.33,1:28.33,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Heats,1
6,9.30,1:38.09,8,9.54,1:38.23,4,9.37,1:37.84,1,9.38,1:37.53,7,9.25,1:38.21,5,9.40,1:37.98,2,9.43,1:37.65,3,9.42,1:37.75,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Heats,1
5,9.43,1:47.52,8,9.77,1:48.00,4,9.37,1:47.21,1,9.36,1:46.89,7,9.66,1:47.87,6,9.58,1:47.56,2,9.33,1:46.98,3,9.37,1:47.12,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Heats,1
5,9.89,1:57.41,8,9.66,1:57.66,4,9.42,1:56.63,1,9.39,1:56.28,7,9.70,1:57.57,6,9.89,1:57.45,2,9.38,1:56.36,3,9.37,1:56.49,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Heats,1
6,10.29,2:07.70,7,10.27,2:07.93,4,9.67,2:06.30,1,9.28,2:05.56,8,10.53,2:08.10,5,10.20,2:07.65,2,9.29,2:05.65,3,9.48,2:05.97,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Heats,1
7,10.92,2:18.62,6,10.34,2:18.27,4,9.99,2:16.29,1,9.16,2:14.72,8,10.62,2:18.72,5,10.35,2:18.00,2,9.24,2:14.89,3,9.72,2:15.69,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Heats,1
