START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,START_POS_9 POSITION,START_POS_9 LAP TIME,START_POS_9 ELAPSED TIME,season,competition,event,gender,round,race
2,9.32,9.32,1,9.28,9.28,4,9.64,,3,9.45,9.45,5,9.79,9.79,6,9.82,9.82,7,9.86,9.86,8,9.98,9.98,9,10.15,10.15,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Rep.Semifinals,1
5,12.93,22.25,3,12.81,22.09,2,12.35,,1,12.38,21.83,6,12.63,22.42,4,12.31,22.13,7,12.74,22.60,8,12.73,22.71,9,12.68,22.83,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Rep.Semifinals,1
3,11.29,33.54,4,11.55,33.64,1,11.47,,2,11.68,33.51,6,11.47,33.89,5,11.62,33.75,7,11.46,34.06,8,11.46,34.17,9,11.47,34.30,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Rep.Semifinals,1
1,10.45,43.99,4,10.66,44.30,2,10.65,,3,10.69,44.20,6,10.62,44.51,5,10.63,44.38,7,10.56,44.62,8,10.54,44.71,9,10.53,44.83,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Rep.Semifinals,1
1,10.75,54.74,4,10.70,55.00,2,10.71,,3,10.71,54.91,6,10.75,55.26,5,10.73,55.11,7,10.73,55.35,8,10.73,55.44,9,10.73,55.56,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Rep.Semifinals,1
1,10.76,1:05.50,5,10.81,1:05.81,2,10.81,,3,10.79,1:05.70,8,10.87,1:06.13,4,10.64,1:05.75,6,10.56,1:05.91,7,10.57,1:06.01,9,10.64,1:06.20,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Rep.Semifinals,1
2,9.69,1:15.19,5,9.67,1:15.48,3,9.66,,4,9.67,1:15.37,8,9.68,1:15.81,1,9.38,1:15.13,6,9.68,1:15.59,7,9.67,1:15.68,9,9.71,1:15.91,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Rep.Semifinals,1
1,9.59,1:24.78,6,9.67,1:25.15,2,9.58,,5,9.67,1:25.04,8,9.72,1:25.53,3,9.84,1:24.97,4,9.42,1:25.01,7,9.71,1:25.39,9,9.74,1:25.65,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Rep.Semifinals,1
1,9.41,1:34.19,5,9.42,1:34.57,2,9.40,,6,9.62,1:34.66,8,9.40,1:34.93,3,9.38,1:34.35,4,9.44,1:34.45,7,9.42,1:34.81,9,9.36,1:35.01,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Rep.Semifinals,1
1,9.22,1:43.41,5,9.17,1:43.74,2,9.17,,6,9.16,1:43.82,8,9.12,1:44.05,3,9.17,1:43.52,4,9.17,1:43.62,7,9.14,1:43.95,8,9.04,1:44.05,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Rep.Semifinals,1
2,9.21,1:52.62,3,8.93,1:52.67,9,42.45,,5,8.98,1:52.80,8,8.98,1:53.03,1,9.01,1:52.53,4,9.11,1:52.73,7,8.99,1:52.94,6,8.78,1:52.83,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Rep.Semifinals,1
5,9.41,2:02.03,2,9.18,2:01.85,,,,5,9.23,2:02.03,8,9.23,2:02.26,1,9.11,2:01.64,4,9.28,2:02.01,7,9.22,2:02.16,3,9.12,2:01.95,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Rep.Semifinals,1
8,9.83,2:11.86,3,9.32,2:11.17,,,,7,9.68,2:11.71,5,9.10,2:11.36,2,9.28,2:10.92,4,9.17,2:11.18,6,9.29,2:11.45,1,8.82,2:10.77,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Rep.Semifinals,1
7,10.00,2:21.847,5,9.46,2:20.613,,,,8,10.75,2:22.446,4,9.16,2:20.512,0,,PHOTO,0,,PHOTO,6,9.56,2:20.987,1,9.36,2:20.13,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),m,Rep.Semifinals,1
