START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
2,13.480,13.480,1,13.430,13.430,3,13.660,13.660,4,13.770,13.770,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),m,Heats,5
1,10.960,24.440,2,11.080,24.510,3,10.940,24.610,4,10.890,24.660,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),m,Heats,5
3,10.950,35.400,2,10.820,35.330,4,10.860,35.480,1,10.660,35.330,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),m,Heats,5
2,9.600,45.010,1,9.630,44.970,3,9.560,45.040,4,9.850,45.180,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),m,Heats,5
1,9.370,54.380,3,9.480,54.450,2,9.400,54.450,4,11.390,56.580,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),m,Heats,5
1,9.690,1:04.070,3,9.760,1:04.220,2,9.650,1:04.100,4,11.710,1:08.290,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),m,Heats,5
1,9.550,1:13.630,2,9.490,1:13.720,3,9.850,1:13.950,4,11.580,1:19.870,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),m,Heats,5
1,9.690,1:23.320,2,9.760,1:23.480,3,9.800,1:23.750,4,12.090,1:31.960,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),m,Heats,5
1,9.650,1:32.980,2,9.910,1:33.400,3,10.420,1:34.180,4,11.420,1:43.390,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(2),m,Heats,5
