START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,season,competition,event,gender,round,race
1,12.89,12.89,2,13.06,13.06,3,13.18,13.18,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
1,9.89,22.78,2,9.98,23.04,3,10.13,23.31,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
1,9.91,32.69,2,9.85,32.89,3,9.92,33.23,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
1,9.82,42.51,2,9.70,42.59,3,10.04,43.27,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
1,9.69,52.20,2,9.73,52.32,3,9.73,53.00,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
2,9.94,1:02.14,1,9.67,1:01.99,3,9.71,1:02.71,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
2,10.00,1:12.14,1,9.86,1:11.85,3,10.13,1:12.84,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
2,9.55,1:21.69,1,9.75,1:21.60,3,10.26,1:23.10,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
2,9.92,1:31.61,1,9.85,1:31.45,3,10.31,1:33.41,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
2,9.89,1:41.50,1,9.86,1:41.31,3,10.38,1:43.79,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
1,9.70,1:51.20,2,10.06,1:51.37,3,10.61,1:54.40,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
2,9.86,2:01.06,1,9.21,2:00.58,3,10.34,2:04.74,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
2,9.93,2:10.99,1,9.44,2:10.02,3,10.42,2:15.16,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
2,9.96,2:20.95,1,9.80,2:19.82,3,10.42,2:25.58,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
2,9.92,2:30.87,1,9.84,2:29.66,3,10.67,2:36.25,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
2,10.10,2:40.97,1,9.64,2:39.30,3,10.61,2:46.86,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
2,10.01,2:50.98,1,9.86,2:49.16,3,10.68,2:57.54,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
2,10.06,3:01.04,1,9.88,2:59.04,3,10.52,3:08.06,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
2,10.16,3:11.20,1,9.71,3:08.75,3,10.66,3:18.72,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
2,9.92,3:21.12,1,10.26,3:19.01,3,10.68,3:29.40,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
2,10.12,3:31.24,1,10.10,3:29.11,3,10.78,3:40.18,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
2,10.29,3:41.53,1,10.04,3:39.15,3,10.60,3:50.78,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
2,9.88,3:51.41,1,9.91,3:49.06,3,11.02,4:01.80,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
2,10.25,4:01.66,1,10.06,3:59.12,3,10.68,4:12.48,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
2,10.27,4:11.93,1,10.03,4:09.15,3,10.56,4:23.04,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
2,9.88,4:21.81,1,10.15,4:19.30,3,10.75,4:33.79,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
2,9.95,4:31.752,1,10.58,4:29.872,3,10.60,4:44.384,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",3000mRelay,w,Heats,1
