START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,13.15,13.15,1,12.93,12.93,2,13.04,13.04,5,13.24,13.24,4,13.23,13.23,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1000m(2),m,Semifinals,1
4,9.41,22.56,2,9.44,22.37,3,9.41,22.45,5,9.42,22.66,1,8.99,22.22,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1000m(2),m,Semifinals,1
4,9.01,31.57,3,9.00,31.37,2,8.91,31.36,5,9.01,31.67,1,9.04,31.26,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1000m(2),m,Semifinals,1
5,9.12,40.69,3,9.05,40.42,2,8.97,40.33,4,8.87,40.54,1,8.95,40.21,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1000m(2),m,Semifinals,1
5,8.90,49.59,4,9.00,49.42,2,8.98,49.31,3,8.87,49.41,1,8.99,49.20,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1000m(2),m,Semifinals,1
5,8.86,58.45,4,8.93,58.35,2,8.83,58.14,3,8.83,58.24,1,8.80,58.00,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1000m(2),m,Semifinals,1
5,8.60,1:07.05,4,8.65,1:07.00,1,8.55,1:06.69,3,8.58,1:06.82,2,8.70,1:06.70,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1000m(2),m,Semifinals,1
5,8.62,1:15.67,4,8.65,1:15.65,1,8.52,1:15.21,2,8.49,1:15.31,3,8.68,1:15.38,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1000m(2),m,Semifinals,1
4,8.82,1:24.49,5,8.99,1:24.64,1,8.66,1:23.87,2,8.63,1:23.94,3,8.80,1:24.18,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),1000m(2),m,Semifinals,1
