START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
0,14.135,14.135,0,13.954,13.954,0,13.784,13.784,0,13.808,13.808,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1000m(1),m,Heats,3
0,9.890,24.025,0,10.088,24.042,0,10.008,23.792,0,9.986,23.794,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1000m(1),m,Heats,3
0,9.990,34.015,0,9.848,33.890,0,9.720,33.512,0,9.670,33.464,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1000m(1),m,Heats,3
0,9.516,43.531,0,9.620,43.510,0,9.721,43.233,0,9.876,43.340,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1000m(1),m,Heats,3
0,9.906,53.437,0,9.824,53.334,0,9.819,53.051,0,9.787,53.127,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1000m(1),m,Heats,3
0,9.523,1:02.960,0,9.544,1:02.878,0,9.698,1:02.750,0,9.650,1:02.777,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1000m(1),m,Heats,3
0,9.592,1:12.552,0,22.125,1:25.002,0,16.737,1:19.487,0,9.825,1:12.603,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1000m(1),m,Heats,3
0,9.912,1:22.464,0,26.066,1:51.069,0,12.208,1:31.695,0,10.741,1:23.344,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1000m(1),m,Heats,3
0,10.459,1:32.923,0,16.985,2:08.053,0,12.973,1:44.668,0,12.369,1:35.713,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",1000m(1),m,Heats,3
