START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,9.84,9.84,3,9.96,9.96,5,10.08,10.08,1,9.74,9.74,4,10.02,10.02,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Preliminaries,11
3,13.57,23.41,4,13.59,23.55,5,13.65,23.73,2,13.56,23.30,1,13.17,23.19,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Preliminaries,11
3,13.36,36.77,4,13.38,36.93,5,13.39,37.12,2,13.34,36.64,1,13.31,36.50,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Preliminaries,11
3,13.59,50.36,4,13.60,50.53,5,13.60,50.72,2,13.61,50.25,1,13.58,50.08,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Preliminaries,11
2,12.12,1:02.48,4,12.17,1:02.70,5,12.08,1:02.80,1,12.13,1:02.38,3,12.49,1:02.57,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Preliminaries,11
4,11.68,1:14.16,1,11.23,1:13.93,2,11.19,1:13.99,3,11.66,1:14.04,5,11.64,1:14.21,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Preliminaries,11
5,10.04,1:24.20,1,9.87,1:23.80,2,9.94,1:23.93,3,9.99,1:24.03,4,9.91,1:24.12,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Preliminaries,11
5,10.34,1:34.54,1,10.31,1:34.11,2,10.31,1:34.24,3,10.31,1:34.34,4,10.31,1:34.43,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Preliminaries,11
5,10.25,1:44.79,1,10.26,1:44.37,2,10.22,1:44.46,3,10.23,1:44.57,4,10.26,1:44.69,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Preliminaries,11
5,10.00,1:54.79,1,9.95,1:54.32,2,9.95,1:54.41,3,9.93,1:54.50,4,9.88,1:54.57,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Preliminaries,11
5,10.00,2:04.79,1,9.88,2:04.20,2,9.89,2:04.30,3,9.93,2:04.43,4,9.94,2:04.51,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Preliminaries,11
5,10.45,2:15.24,1,9.77,2:13.97,2,9.76,2:14.06,3,9.72,2:14.15,4,9.70,2:14.21,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Preliminaries,11
5,10.98,2:26.22,1,9.74,2:23.71,2,9.74,2:23.80,4,9.84,2:23.99,3,9.67,2:23.88,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Preliminaries,11
5,11.56,2:37.771,1,9.85,2:33.557,2,9.85,2:33.644,4,9.84,2:33.825,3,9.89,2:33.763,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Preliminaries,11
