START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
2,12.590,12.590,3,12.593,12.593,4,12.600,12.600,1,12.527,12.527,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1000m,m,Heats,1
2,9.982,22.572,3,10.050,22.642,1,9.937,22.537,4,10.216,22.743,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1000m,m,Heats,1
1,9.214,31.785,3,9.374,32.016,2,9.330,31.866,4,9.364,32.107,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1000m,m,Heats,1
1,9.301,41.086,3,9.389,41.405,2,9.318,41.184,4,9.444,41.551,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1000m,m,Heats,1
2,9.198,50.284,1,8.848,50.253,3,9.425,50.609,4,9.794,51.345,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1000m,m,Heats,1
1,8.963,59.247,2,9.282,59.535,3,9.047,59.656,4,9.510,1:00.855,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1000m,m,Heats,1
1,8.944,1:08.191,2,8.977,1:08.512,3,9.652,1:09.308,4,9.951,1:10.806,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1000m,m,Heats,1
1,9.327,1:17.518,2,9.209,1:17.720,3,9.918,1:19.226,4,10.184,1:20.990,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1000m,m,Heats,1
2,9.762,1:27.280,1,9.407,1:27.128,3,10.382,1:29.608,4,10.866,1:31.856,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1000m,m,Heats,1
