START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,START_POS_9 POSITION,START_POS_9 LAP TIME,START_POS_9 ELAPSED TIME,season,competition,event,gender,round,race
1,26.11,26.11,2,26.28,26.28,9,27.84,27.84,3,26.47,26.47,7,27.18,27.18,4,26.79,26.79,6,27.12,27.12,8,27.47,27.47,5,26.96,26.96,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
6,25.51,51.62,1,24.23,50.51,9,24.56,52.40,2,24.31,50.78,4,24.23,51.41,3,24.36,51.15,7,24.61,51.73,8,24.55,52.02,5,24.62,51.58,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
8,21.71,1:13.33,1,21.47,1:11.98,9,21.27,1:13.67,2,21.46,1:12.24,4,21.35,1:12.76,3,21.41,1:12.56,5,21.08,1:12.81,7,21.15,1:13.17,6,21.32,1:12.90,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
8,21.26,1:34.59,2,21.50,1:33.48,9,21.38,1:35.05,1,21.03,1:33.27,4,21.18,1:33.94,3,21.25,1:33.81,6,21.50,1:34.31,7,21.24,1:34.41,5,21.21,1:34.11,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
8,18.43,1:53.02,2,18.44,1:51.92,9,18.26,1:53.31,1,18.48,1:51.75,4,18.49,1:52.43,3,18.45,1:52.26,6,18.42,1:52.73,7,18.42,1:52.83,5,18.50,1:52.61,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
8,18.43,2:11.45,2,18.39,2:10.31,9,18.56,2:11.87,1,18.41,2:10.16,4,18.31,2:10.74,3,18.31,2:10.57,5,18.19,2:10.92,7,18.44,2:11.27,6,18.31,2:10.92,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
8,18.03,2:29.48,2,18.04,2:28.35,9,17.97,2:29.84,1,18.02,2:28.18,3,17.77,2:28.51,4,18.15,2:28.72,6,18.21,2:29.13,7,18.01,2:29.28,5,17.99,2:28.91,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
8,17.87,2:47.35,2,18.03,2:46.38,9,17.81,2:47.65,1,18.07,2:46.25,3,18.02,2:46.53,4,18.04,2:46.76,6,17.92,2:47.05,7,17.90,2:47.18,5,18.03,2:46.94,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
8,17.66,3:05.01,2,17.54,3:03.92,9,17.57,3:05.22,1,17.50,3:03.75,3,17.52,3:04.05,4,17.53,3:04.29,6,17.63,3:04.68,7,17.65,3:04.83,5,17.54,3:04.48,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
8,16.28,3:21.29,3,16.64,3:20.56,9,16.33,3:21.55,2,16.65,3:20.40,1,16.17,3:20.22,4,16.53,3:20.82,6,16.45,3:21.13,7,16.41,3:21.24,5,16.48,3:20.96,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Semifinals,2
