START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,season,competition,event,gender,round,race
1,9.04,9.04,2,9.22,9.22,5,9.40,9.40,7,9.54,9.54,3,9.28,9.28,4,9.36,9.36,8,9.61,9.61,6,9.50,9.50,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,w,Semifinals,3
3,11.68,20.72,5,11.73,20.95,6,11.67,21.07,7,11.63,21.17,2,11.40,20.68,1,11.18,20.54,8,11.65,21.26,4,11.24,20.74,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,w,Semifinals,3
3,10.73,31.45,5,10.74,31.69,7,10.81,31.88,6,10.63,31.80,2,10.65,31.33,1,10.65,31.19,8,10.74,32.00,4,10.83,31.57,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,w,Semifinals,3
3,10.39,41.84,5,10.39,42.08,7,10.35,42.23,6,10.38,42.18,2,10.39,41.72,1,10.41,41.60,8,10.32,42.32,4,10.38,41.95,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,w,Semifinals,3
3,9.90,51.74,7,9.85,51.93,4,9.58,51.81,8,9.86,52.04,2,9.94,51.66,1,9.97,51.57,6,9.55,51.87,5,9.88,51.83,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,w,Semifinals,3
3,9.55,1:01.29,7,9.71,1:01.64,5,9.60,1:01.41,8,9.69,1:01.73,2,9.57,1:01.23,1,9.58,1:01.15,4,9.44,1:01.31,6,9.71,1:01.54,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,w,Semifinals,3
3,9.50,1:10.79,7,9.45,1:11.09,5,9.50,1:10.91,8,9.45,1:11.18,2,9.44,1:10.67,4,9.66,1:10.81,1,9.33,1:10.64,5,9.37,1:10.91,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,w,Semifinals,3
3,9.48,1:20.27,7,9.58,1:20.67,4,9.50,1:20.41,8,9.60,1:20.78,2,9.51,1:20.18,5,9.75,1:20.56,1,9.36,1:20.00,6,9.74,1:20.65,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,w,Semifinals,3
3,9.81,1:30.08,7,9.67,1:30.34,5,9.87,1:30.28,8,9.65,1:30.43,1,9.80,1:29.98,4,9.63,1:30.19,2,10.01,1:30.01,6,9.64,1:30.29,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,w,Semifinals,3
1,9.56,1:39.64,7,10.06,1:40.40,4,9.93,1:40.21,6,9.91,1:40.34,2,9.94,1:39.92,3,9.85,1:40.04,4,10.20,1:40.21,8,10.20,1:40.49,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,w,Semifinals,3
1,9.93,1:49.57,3,9.39,1:49.79,2,9.52,1:49.73,7,9.90,1:50.24,5,10.16,1:50.08,4,9.83,1:49.87,6,9.95,1:50.16,8,10.13,1:50.62,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,w,Semifinals,3
3,10.17,1:59.74,1,9.60,1:59.39,2,9.76,1:59.49,7,10.11,2:00.35,5,10.15,2:00.23,4,9.99,1:59.86,6,10.16,2:00.32,8,10.32,2:00.94,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,w,Semifinals,3
4,10.28,2:10.02,1,9.33,2:08.72,2,9.86,2:09.35,6,10.14,2:10.49,7,10.42,2:10.65,3,10.04,2:09.90,5,10.12,2:10.44,8,10.58,2:11.52,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,w,Semifinals,3
4,10.37,2:20.39,1,9.78,2:18.50,2,10.19,2:19.54,6,10.46,2:20.953,7,11.11,2:21.765,3,10.29,2:20.19,5,10.34,2:20.781,8,10.89,2:22.414,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,w,Semifinals,3
