START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,season,competition,event,gender,round,race
1,14.22,14.22,2,14.30,14.30,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
1,10.27,24.49,2,10.30,24.60,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
1,9.83,34.32,2,9.93,34.53,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
1,9.96,44.28,2,9.82,44.35,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
1,9.72,54.00,2,9.72,54.07,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
2,10.11,1:04.11,1,9.94,1:04.01,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
2,10.11,1:14.22,1,10.07,1:14.08,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
2,9.43,1:23.65,1,9.43,1:23.51,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
2,9.06,1:32.71,1,9.13,1:32.64,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
2,9.18,1:41.89,1,9.15,1:41.79,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
2,9.24,1:51.13,1,9.24,1:51.03,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
2,9.68,2:00.81,1,9.68,2:00.71,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
2,19.33,2:20.14,1,9.79,2:10.50,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
,,,1,9.52,2:20.02,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
2,,2:29.31,1,9.22,2:29.24,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
2,9.09,2:38.40,1,9.09,2:38.33,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
2,9.20,2:47.60,1,9.19,2:47.52,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
2,9.54,2:57.14,1,9.48,2:57.00,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
2,9.63,3:06.77,1,9.61,3:06.61,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
2,9.49,3:16.26,1,9.35,3:15.96,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
2,9.17,3:25.43,1,9.06,3:25.02,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
2,9.06,3:34.49,1,9.04,3:34.06,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
2,8.96,3:43.45,1,9.23,3:43.29,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
2,9.16,3:52.61,1,9.28,3:52.57,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
2,9.20,4:01.81,1,9.20,4:01.77,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
2,9.06,4:10.87,1,8.93,4:10.70,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
2,8.91,4:19.78,1,8.84,4:19.54,2019-2020,ISU World Cup  2019/20 - Montreal (CAN),3000mRelay,w,Quarterfinals,2
