START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,season,competition,event,gender,round,race
5,9.65,9.65,3,9.50,9.50,6,9.75,9.75,8,10.04,10.04,2,9.45,9.45,1,9.35,9.35,7,9.87,9.87,4,9.57,9.57,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Semifinals,1
5,12.69,22.34,4,12.71,22.21,6,12.70,22.45,7,12.47,22.51,1,12.44,21.89,3,12.75,22.10,8,12.70,22.57,2,12.43,22.00,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Semifinals,1
5,11.88,34.22,2,11.92,34.13,6,11.86,34.31,1,11.50,34.01,4,12.32,34.21,2,12.03,34.13,8,11.80,34.37,6,12.31,34.31,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Semifinals,1
2,10.96,45.18,6,11.35,45.48,3,10.94,45.25,4,11.35,45.36,5,11.20,45.41,1,10.93,45.06,7,11.24,45.61,8,11.43,45.74,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Semifinals,1
2,11.09,56.27,8,11.23,56.71,4,11.18,56.43,5,11.19,56.55,1,10.72,56.13,3,11.28,56.34,6,11.05,56.66,6,10.92,56.66,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Semifinals,1
4,10.96,1:07.23,7,10.76,1:07.47,5,10.89,1:07.32,8,11.02,1:07.57,1,10.86,1:06.99,6,11.02,1:07.36,3,10.47,1:07.13,2,10.41,1:07.07,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Semifinals,1
4,10.70,1:17.93,7,10.78,1:18.25,5,10.71,1:18.03,8,10.77,1:18.34,1,10.67,1:17.66,5,10.67,1:18.03,3,10.72,1:17.85,2,10.67,1:17.74,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Semifinals,1
5,10.57,1:28.50,6,10.37,1:28.62,8,10.63,1:28.66,7,10.31,1:28.65,2,10.50,1:28.16,1,10.04,1:28.07,4,10.51,1:28.36,3,10.51,1:28.25,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Semifinals,1
5,9.91,1:38.41,6,9.91,1:38.53,8,10.28,1:38.94,7,10.02,1:38.67,1,9.80,1:37.96,2,9.93,1:38.00,4,9.87,1:38.23,3,9.96,1:38.21,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Semifinals,1
5,9.67,1:48.08,6,9.65,1:48.18,8,9.71,1:48.65,7,9.61,1:48.28,1,9.71,1:47.67,2,9.76,1:47.76,3,9.63,1:47.86,4,9.76,1:47.97,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Semifinals,1
6,9.70,1:57.78,4,9.50,1:57.68,8,9.80,1:58.45,7,9.60,1:57.88,1,9.57,1:57.24,2,9.63,1:57.39,3,9.65,1:57.51,5,9.72,1:57.69,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Semifinals,1
6,9.62,2:07.40,4,9.39,2:07.07,8,10.31,2:08.76,5,9.25,2:07.13,1,9.39,2:06.63,2,9.53,2:06.92,3,9.50,2:07.01,7,9.92,2:07.61,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Semifinals,1
6,9.71,2:17.11,3,9.25,2:16.32,8,10.75,2:19.51,2,9.06,2:16.19,1,9.51,2:16.14,4,9.66,2:16.58,5,9.59,2:16.60,7,10.21,2:17.82,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Semifinals,1
6,9.87,2:26.959,2,9.36,2:25.661,8,11.18,2:30.666,1,9.26,2:25.433,3,9.75,2:25.866,4,9.92,2:26.473,5,10.05,2:26.632,7,11.19,2:28.991,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Semifinals,1
