START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
5,10.820,10.820,1,10.350,10.350,3,10.610,10.610,2,10.450,10.450,4,10.770,10.770,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,w,Heats,1
4,14.760,25.590,2,14.800,25.150,3,14.920,25.530,1,14.320,24.770,5,14.930,25.700,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,w,Heats,1
4,14.110,39.700,2,14.100,39.250,3,14.020,39.550,1,13.990,38.760,5,14.050,39.750,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,w,Heats,1
4,14.370,54.080,2,14.480,53.730,3,14.410,53.970,1,14.970,53.730,5,14.480,54.240,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,w,Heats,1
2,11.320,1:05.400,3,11.910,1:05.650,4,11.830,1:05.810,1,11.510,1:05.250,5,11.830,1:06.070,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,w,Heats,1
2,11.990,1:17.390,4,11.860,1:17.510,3,11.660,1:17.470,1,11.900,1:17.150,5,11.720,1:17.800,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,w,Heats,1
2,12.070,1:29.460,4,12.040,1:29.550,3,12.080,1:29.550,1,12.030,1:29.190,5,12.100,1:29.900,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,w,Heats,1
3,10.860,1:40.330,2,10.580,1:40.140,4,10.790,1:40.350,1,10.750,1:39.940,5,10.890,1:40.790,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,w,Heats,1
3,11.020,1:51.350,4,11.290,1:51.440,2,10.990,1:51.350,1,11.000,1:50.950,5,10.870,1:51.670,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,w,Heats,1
4,10.810,2:02.170,2,10.630,2:02.070,3,10.790,2:02.140,1,10.670,2:01.630,5,11.020,2:02.690,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,w,Heats,1
4,10.270,2:12.450,2,10.320,2:12.400,3,10.260,2:12.410,1,10.570,2:12.200,5,11.720,2:14.420,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,w,Heats,1
4,10.250,2:22.700,1,10.060,2:22.460,2,10.160,2:22.570,3,10.390,2:22.600,5,11.960,2:26.380,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,w,Heats,1
3,10.160,2:32.870,2,10.160,2:32.630,1,10.050,2:32.620,4,10.340,2:32.940,5,12.420,2:38.800,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,w,Heats,1
3,10.210,2:43.080,1,10.130,2:42.760,2,10.350,2:42.980,4,10.630,2:43.580,5,13.270,2:52.070,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,w,Heats,1
