START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
5,13.41,13.41,2,13.07,13.07,3,13.17,13.17,4,13.29,13.29,1,13.05,13.05,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1000m(2),m,Quarterfinals,1
5,9.56,22.97,2,9.62,22.69,1,9.38,22.55,4,9.54,22.83,3,9.75,22.80,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1000m(2),m,Quarterfinals,1
4,8.96,31.93,3,9.22,31.91,2,9.25,31.80,1,8.88,31.71,5,9.23,32.03,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1000m(2),m,Quarterfinals,1
4,9.08,41.01,2,8.91,40.82,2,9.02,40.82,1,9.01,40.72,5,9.13,41.16,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1000m(2),m,Quarterfinals,1
4,9.17,50.18,2,9.03,49.85,3,9.20,50.02,1,9.02,49.74,5,9.09,50.25,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1000m(2),m,Quarterfinals,1
4,8.78,58.96,2,8.92,58.77,3,8.81,58.83,1,8.95,58.69,5,8.82,59.07,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1000m(2),m,Quarterfinals,1
5,8.93,1:07.89,3,9.00,1:07.77,2,8.86,1:07.69,1,8.88,1:07.57,4,8.75,1:07.82,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1000m(2),m,Quarterfinals,1
5,9.20,1:17.09,4,9.13,1:16.90,2,8.98,1:16.67,1,8.99,1:16.56,3,8.95,1:16.77,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1000m(2),m,Quarterfinals,1
5,9.18,1:26.274,4,9.00,1:25.907,0,9.19,1:25.86,1,9.21,1:25.77,0,9.09,1:25.86,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1000m(2),m,Quarterfinals,1
