START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,season,competition,event,gender,round,race
5,10.03,10.03,4,9.90,9.90,2,9.74,9.74,1,9.73,9.73,6,10.16,10.16,8,10.34,10.34,3,9.87,9.87,7,10.24,10.24,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Semifinals,3
6,12.32,22.35,5,12.35,22.25,3,12.12,21.86,2,12.12,21.85,7,12.30,22.46,8,12.33,22.67,1,11.87,21.74,4,11.82,22.06,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Semifinals,3
7,11.27,33.62,3,10.96,33.21,2,11.27,33.13,5,11.56,33.41,6,11.05,33.51,8,11.09,33.76,1,11.26,33.00,4,11.20,33.26,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Semifinals,3
6,10.94,44.56,4,11.22,44.43,2,10.99,44.12,5,11.11,44.52,7,11.13,44.64,8,11.03,44.79,1,10.97,43.97,3,10.98,44.24,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Semifinals,3
2,9.46,54.02,5,9.99,54.42,4,10.14,54.26,6,9.99,54.51,7,9.95,54.59,8,9.92,54.71,3,10.18,54.15,1,9.70,53.94,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Semifinals,3
2,9.39,1:03.41,5,9.40,1:03.82,3,9.30,1:03.56,6,9.38,1:03.89,8,9.46,1:04.05,6,9.18,1:03.89,4,9.53,1:03.68,1,9.38,1:03.32,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Semifinals,3
1,9.18,1:12.59,5,9.10,1:12.92,3,9.21,1:12.77,6,9.20,1:13.09,8,9.12,1:13.17,4,8.94,1:12.83,7,9.47,1:13.15,2,9.35,1:12.67,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Semifinals,3
3,9.26,1:21.85,4,8.94,1:21.86,5,9.10,1:21.87,6,8.84,1:21.93,7,8.94,1:22.11,2,8.97,1:21.80,8,9.63,1:22.78,1,9.06,1:21.73,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Semifinals,3
6,9.23,1:31.08,1,8.77,1:30.63,5,9.13,1:31.00,4,9.00,1:30.93,7,9.03,1:31.14,3,9.06,1:30.86,8,9.49,1:32.27,2,9.04,1:30.77,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Semifinals,3
7,9.20,1:40.28,2,9.31,1:39.94,5,9.19,1:40.19,1,8.94,1:39.87,4,8.95,1:40.09,3,9.16,1:40.02,8,9.54,1:41.81,6,9.43,1:40.20,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Semifinals,3
6,9.06,1:49.34,2,8.93,1:48.87,5,9.12,1:49.31,1,8.71,1:48.58,4,9.08,1:49.17,3,9.04,1:49.06,8,9.79,1:51.60,7,9.42,1:49.62,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Semifinals,3
5,8.88,1:58.22,2,8.95,1:57.82,6,9.13,1:58.44,1,8.83,1:57.41,4,8.89,1:58.06,3,8.89,1:57.95,8,9.95,2:01.55,7,9.58,1:59.20,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Semifinals,3
5,9.05,2:07.27,2,9.16,2:06.98,6,9.20,2:07.64,1,9.02,2:06.43,4,9.13,2:07.19,3,9.06,2:07.01,8,10.15,2:11.70,7,9.96,2:09.16,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Semifinals,3
3,9.25,2:16.52,2,9.37,2:16.35,6,9.88,2:17.502,1,9.46,2:15.89,5,9.51,2:16.691,4,9.57,2:16.58,8,10.38,2:22.050,7,10.36,2:19.495,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Semifinals,3
