START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,season,competition,event,gender,round,race
1,12.41,12.41,2,12.48,12.48,,,,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
2,9.38,21.79,3,9.37,21.85,1,,21.58,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
2,9.53,31.32,3,9.50,31.35,1,9.59,31.17,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
2,9.53,40.85,3,9.68,41.03,1,9.17,40.34,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
2,9.54,50.39,3,9.37,50.40,1,9.88,50.22,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
3,9.44,59.83,2,9.43,59.83,1,9.51,59.73,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
2,9.67,1:09.50,3,9.76,1:09.59,1,9.59,1:09.32,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
2,9.47,1:18.97,3,9.55,1:19.14,1,9.55,1:18.87,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
3,9.75,1:28.72,2,9.48,1:28.62,1,9.52,1:28.39,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
1,9.60,1:38.32,2,9.77,1:38.39,3,10.09,1:38.48,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
1,9.60,1:47.92,2,9.59,1:47.98,3,9.67,1:48.15,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
1,9.45,1:57.37,2,9.41,1:57.39,3,9.40,1:57.55,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
1,9.18,2:06.55,2,9.51,2:06.90,3,9.39,2:06.94,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
2,9.91,2:16.46,1,9.49,2:16.39,3,9.61,2:16.55,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
1,9.49,2:25.95,2,9.62,2:26.01,3,9.51,2:26.06,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
1,9.58,2:35.53,3,9.62,2:35.63,2,9.50,2:35.56,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
1,9.49,2:45.02,2,9.40,2:45.03,3,9.51,2:45.07,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
2,9.68,2:54.70,3,9.85,2:54.88,1,9.56,2:54.63,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
2,9.46,3:04.16,3,9.50,3:04.38,1,9.27,3:03.90,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
2,9.50,3:13.66,1,9.27,3:13.65,3,9.77,3:13.67,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
1,9.44,3:23.10,3,9.58,3:23.23,2,9.46,3:23.13,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
1,9.40,3:32.50,3,9.60,3:32.83,2,9.59,3:32.72,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
1,9.43,3:41.93,3,9.94,3:42.77,2,9.72,3:42.44,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
1,9.48,3:51.41,3,9.69,3:52.46,2,9.61,3:52.05,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
1,9.44,4:00.85,3,10.42,4:02.88,2,8.97,4:01.02,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
1,9.42,4:10.27,3,7.99,4:10.87,2,9.37,4:10.39,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
1,9.48,4:19.749,3,9.24,4:20.106,2,9.52,4:19.902,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",3000mRelay,w,FinalB,1
