START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,6.72,6.72,2,6.85,6.85,3,7.20,7.20,5,8.11,8.11,4,7.28,7.28,2015-2016,ISU World Cup 2015/16 - Dresden (GER),500m,m,Quarterfinals,1
1,8.65,15.37,2,8.61,15.46,3,8.84,16.04,5,9.30,17.41,4,8.88,16.16,2015-2016,ISU World Cup 2015/16 - Dresden (GER),500m,m,Quarterfinals,1
1,8.06,23.43,2,8.10,23.56,3,8.41,24.45,5,9.56,26.97,4,8.40,24.56,2015-2016,ISU World Cup 2015/16 - Dresden (GER),500m,m,Quarterfinals,1
1,8.28,31.71,2,8.25,31.81,3,8.74,33.19,5,10.04,37.01,4,8.72,33.28,2015-2016,ISU World Cup 2015/16 - Dresden (GER),500m,m,Quarterfinals,1
1,8.51,40.196,2,8.50,40.288,3,8.97,42.144,5,10.85,47.828,4,8.94,42.203,2015-2016,ISU World Cup 2015/16 - Dresden (GER),500m,m,Quarterfinals,1
