START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,START_POS_9 POSITION,START_POS_9 LAP TIME,START_POS_9 ELAPSED TIME,season,competition,event,gender,round,race
2,9.03,9.03,3,9.18,9.18,6,9.66,,4,9.42,9.42,1,8.59,8.59,5,9.53,9.53,8,10.06,10.06,9,10.20,10.20,7,9.89,9.89,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,3
2,10.87,19.90,3,10.82,20.00,6,10.66,,4,10.69,20.11,1,9.30,17.89,5,10.66,20.19,8,10.45,20.51,9,10.40,20.60,7,10.51,20.40,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,3
2,10.38,30.28,3,10.37,30.37,6,10.40,,4,10.38,30.49,1,8.84,26.73,5,10.40,30.59,8,10.39,30.90,9,10.40,31.00,7,10.41,30.81,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,3
2,10.26,40.54,3,10.27,40.64,6,10.28,,4,10.29,40.78,1,8.72,35.45,5,10.26,40.85,8,10.32,41.22,9,10.24,41.24,7,10.31,41.12,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,3
2,9.97,50.51,3,9.99,50.63,6,9.91,,4,9.96,50.74,1,8.81,44.26,5,10.02,50.87,9,10.08,51.30,8,9.95,51.19,7,9.98,51.10,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,3
2,9.81,1:00.32,3,9.81,1:00.44,5,9.69,,3,9.70,1:00.44,1,9.08,53.34,6,9.85,1:00.72,9,9.78,1:01.08,8,9.82,1:01.01,7,9.79,1:00.89,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,3
2,9.56,1:09.88,4,9.61,1:10.05,5,9.50,,3,9.55,1:09.99,1,9.39,1:02.73,6,9.41,1:10.13,9,9.49,1:10.57,8,9.46,1:10.47,7,9.45,1:10.34,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,3
2,9.72,1:19.60,5,9.76,1:19.81,4,9.70,,3,9.72,1:19.71,1,9.48,1:12.21,7,9.95,1:20.08,9,9.71,1:20.28,8,9.71,1:20.18,6,9.63,1:19.97,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,3
2,9.66,1:29.26,7,9.66,1:29.47,3,9.51,,4,9.64,1:29.35,1,9.65,1:21.86,5,9.28,1:29.36,9,9.52,1:29.80,8,9.41,1:29.59,6,9.48,1:29.45,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,3
4,9.06,1:38.32,7,9.16,1:38.63,2,8.74,,5,9.03,1:38.38,1,9.82,1:31.68,3,8.78,1:38.14,9,9.14,1:38.94,8,9.09,1:38.68,6,9.05,1:38.50,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,3
8,9.66,1:47.98,7,9.29,1:47.92,3,8.90,,5,9.01,1:47.39,1,10.14,1:41.82,2,8.79,1:46.93,9,9.19,1:48.13,6,8.80,1:47.48,4,8.79,1:47.29,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,3
9,9.96,1:57.94,7,9.20,1:57.12,3,9.04,,5,8.85,1:56.24,1,10.26,1:52.08,2,8.96,1:55.89,8,9.52,1:57.65,6,8.97,1:56.45,4,8.84,1:56.13,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,3
7,10.33,2:08.27,5,9.55,2:06.67,9,27.88,,8,18.02,2:14.26,1,10.49,2:02.57,2,9.45,2:05.34,6,9.73,2:07.38,4,9.22,2:05.67,3,9.23,2:05.36,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,3
7,10.98,2:19.259,5,10.06,2:16.736,9,33.34,,8,24.50,2:38.76,1,10.76,2:13.33,2,9.53,2:14.87,6,10.13,2:17.518,4,9.76,2:15.43,3,9.81,2:15.17,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,3
