START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,season,competition,event,gender,round,race
3,8.94,8.94,6,9.23,9.23,5,9.10,9.10,7,9.38,9.38,1,8.86,8.86,2,8.92,8.92,8,9.63,,4,8.98,8.98,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,w,Semifinals,1
4,12.41,21.35,7,12.44,21.67,5,12.40,21.50,6,12.16,21.54,3,12.44,21.30,2,12.28,21.20,8,12.19,,1,12.21,21.19,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,w,Semifinals,1
2,11.02,32.37,8,11.34,33.01,3,10.94,32.44,1,10.74,32.28,7,11.49,32.79,4,11.39,32.59,5,10.83,,6,11.50,32.69,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,w,Semifinals,1
2,10.50,42.87,8,10.50,43.51,3,10.55,42.99,4,10.73,43.01,6,10.44,43.23,5,10.61,43.20,1,9.94,,7,10.60,43.29,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,w,Semifinals,1
2,10.16,53.03,8,10.13,53.64,3,10.13,53.12,4,10.19,53.20,5,10.08,53.31,6,10.22,53.42,1,10.34,,7,10.23,53.52,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,w,Semifinals,1
3,10.07,1:03.10,8,10.16,1:03.80,1,9.94,1:03.06,4,10.06,1:03.26,6,10.18,1:03.49,5,9.96,1:03.38,1,10.13,,7,10.05,1:03.57,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,w,Semifinals,1
3,9.87,1:12.97,7,9.53,1:13.33,1,9.76,1:12.82,4,9.82,1:13.08,6,9.81,1:13.30,5,9.81,1:13.19,2,9.84,,8,9.83,1:13.40,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,w,Semifinals,1
2,10.04,1:23.01,5,9.99,1:23.32,1,10.09,1:22.91,4,10.08,1:23.16,7,10.26,1:23.56,8,10.47,1:23.66,3,10.12,,6,10.04,1:23.44,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,w,Semifinals,1
2,9.70,1:32.71,5,9.77,1:33.09,1,9.73,1:32.64,4,9.77,1:32.93,7,9.75,1:33.31,8,9.84,1:33.50,3,9.80,,6,9.75,1:33.19,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,w,Semifinals,1
2,9.69,1:42.40,5,9.59,1:42.68,1,9.67,1:42.31,4,9.66,1:42.59,7,9.52,1:42.83,8,9.48,1:42.98,3,9.66,,5,9.49,1:42.68,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,w,Semifinals,1
2,9.64,1:52.04,4,9.87,1:52.55,1,9.65,1:51.96,5,10.05,1:52.64,6,9.84,1:52.67,7,9.70,1:52.68,8,22.20,,3,9.76,1:52.44,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,w,Semifinals,1
2,9.63,2:01.67,4,9.82,2:02.37,1,9.61,2:01.57,7,10.25,2:02.89,6,10.01,2:02.68,5,9.88,2:02.56,8,21.18,,3,9.84,2:02.28,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,w,Semifinals,1
2,9.80,2:11.47,3,9.79,2:12.16,1,9.75,2:11.32,7,10.21,2:13.10,6,9.84,2:12.52,4,9.75,2:12.31,8,14.28,,5,10.05,2:12.33,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,w,Semifinals,1
2,10.08,2:21.531,3,10.05,2:22.195,1,9.94,2:21.244,7,10.91,2:23.986,5,10.17,2:22.675,4,10.28,2:22.575,,,,6,10.66,2:22.977,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,w,Semifinals,1
