START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
1,6.91,6.91,2,7.08,7.08,3,7.18,7.18,4,7.32,7.32,2011-2012,"ISU World Cup 2011/2012, JPN, Nagoya",500m,m,RepSemifinals,2
1,9.21,16.12,2,9.15,16.23,3,9.17,16.35,4,9.13,16.45,2011-2012,"ISU World Cup 2011/2012, JPN, Nagoya",500m,m,RepSemifinals,2
1,8.56,24.68,2,8.57,24.80,3,8.61,24.96,4,8.60,25.05,2011-2012,"ISU World Cup 2011/2012, JPN, Nagoya",500m,m,RepSemifinals,2
1,8.62,33.30,2,8.58,33.38,3,8.69,33.65,4,8.63,33.68,2011-2012,"ISU World Cup 2011/2012, JPN, Nagoya",500m,m,RepSemifinals,2
1,8.76,42.059,2,8.88,42.251,4,9.07,42.712,3,8.66,42.339,2011-2012,"ISU World Cup 2011/2012, JPN, Nagoya",500m,m,RepSemifinals,2
