START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
4,18.512,18.512,2,18.282,18.282,3,18.497,18.497,,,,6,32.736,32.736,5,18.520,18.520,1,18.203,18.203,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
1,13.521,32.033,2,14.056,32.338,3,13.982,32.479,,,,6,13.798,46.534,4,14.011,32.531,5,14.735,32.938,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
1,14.087,46.119,2,13.791,46.128,4,13.754,46.233,,,,,,,3,13.687,46.217,5,13.716,46.654,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
1,13.436,59.555,2,13.540,59.668,4,13.644,59.876,,,,,,,3,13.656,59.873,5,13.506,1:00.159,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
1,14.292,1:13.846,,,,2,14.058,1:13.934,,,,4,,1:14.113,3,14.169,1:14.041,5,14.361,1:14.519,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
2,13.560,1:27.406,3,,1:27.511,1,13.278,1:27.211,,,,4,13.637,1:27.750,5,13.718,1:27.759,6,13.467,1:27.986,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
3,12.339,1:39.744,2,12.185,1:39.695,1,12.264,1:39.475,,,,5,12.238,1:39.987,4,12.149,1:39.907,6,12.164,1:40.149,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
2,11.834,1:51.578,3,12.014,1:51.709,1,11.907,1:51.381,,,,5,11.851,1:51.838,4,11.924,1:51.831,6,11.842,1:51.991,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
4,11.685,2:03.262,2,11.539,2:03.248,1,11.550,2:02.930,,,,5,11.575,2:03.413,3,11.422,2:03.252,6,11.510,2:03.500,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
6,12.231,2:15.493,1,11.351,2:14.598,2,11.702,2:14.632,,,,5,11.560,2:14.972,3,11.544,2:14.795,4,11.360,2:14.860,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
2,10.486,2:25.979,3,11.401,2:25.998,1,11.155,2:25.787,,,,6,11.409,2:26.380,4,11.328,2:26.123,5,11.360,2:26.219,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
3,11.364,2:37.343,2,11.270,2:37.267,1,11.421,2:37.207,,,,6,11.271,2:37.651,4,11.243,2:37.365,5,11.355,2:37.574,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
2,11.273,2:48.615,3,11.401,2:48.668,1,11.234,2:48.440,,,,6,11.465,2:49.115,4,11.441,2:48.806,5,11.257,2:48.830,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
2,11.168,2:59.783,3,11.259,2:59.927,1,11.190,2:59.630,,,,6,11.116,3:00.230,4,11.127,2:59.933,5,11.249,3:00.079,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
3,11.317,3:11.100,2,11.159,3:11.086,1,11.314,3:10.943,,,,6,11.336,3:11.566,4,11.370,3:11.302,5,11.252,3:11.330,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
2,11.015,3:22.114,3,11.289,3:22.375,1,11.089,3:22.032,,,,6,11.133,3:22.698,4,11.094,3:22.396,5,11.167,3:22.496,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
2,11.425,3:33.539,3,11.287,3:33.661,1,11.255,3:33.287,,,,6,11.334,3:34.032,4,11.301,3:33.696,5,11.339,3:33.835,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
2,11.224,3:44.762,3,11.245,3:44.905,1,11.411,3:44.697,,,,6,11.664,3:45.695,4,11.323,3:45.018,5,11.318,3:45.153,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
4,11.556,3:56.318,2,11.326,3:56.231,1,11.341,3:56.038,,,,6,12.468,3:58.163,3,11.259,3:56.277,5,11.316,3:56.468,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
2,11.217,4:07.535,4,11.471,4:07.701,1,11.409,4:07.447,,,,6,12.995,4:11.158,3,11.420,4:07.696,5,11.385,4:07.852,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
3,11.333,4:18.868,4,11.314,4:19.015,1,11.294,4:18.740,,,,6,13.309,4:24.466,2,11.163,4:18.859,5,11.386,4:19.238,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
2,10.552,4:29.419,4,10.622,4:29.637,3,10.681,4:29.421,,,,6,13.471,4:37.937,1,10.481,4:29.340,5,11.274,4:30.511,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
2,11.622,4:41.041,4,11.468,4:41.105,1,11.297,4:40.718,,,,6,13.654,4:51.591,3,11.763,4:41.103,5,11.592,4:42.103,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
3,11.768,4:52.809,4,11.820,4:52.924,2,11.980,4:52.698,,,,6,14.717,5:06.308,1,11.540,4:52.643,5,12.062,4:54.165,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
2,12.258,5:05.067,4,12.306,5:05.230,3,12.372,5:05.069,,,,6,13.614,5:19.921,1,12.184,5:04.827,5,12.129,5:06.293,2004-2005,2005 Winter Universiade,3000m,w,Heats,3
