START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,season,competition,event,gender,round,race
1,14.29,14.29,2,14.40,14.40,3,14.43,,6,14.58,14.58,5,14.56,14.56,7,14.64,,4,14.48,14.48,8,14.68,14.68,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1000m,w,Rep.Semifinals,1
3,10.63,24.92,5,10.59,24.99,1,10.31,,7,10.58,25.16,2,10.27,24.83,8,10.68,,6,10.63,25.11,4,10.25,24.93,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1000m,w,Rep.Semifinals,1
2,10.26,35.18,5,10.36,35.35,1,10.29,,7,10.37,35.53,4,10.38,35.21,8,10.22,,6,10.41,35.52,2,10.25,35.18,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1000m,w,Rep.Semifinals,1
2,9.84,45.02,6,10.07,45.42,1,9.91,,8,10.12,45.65,4,10.03,45.24,5,9.74,,7,10.03,45.55,3,9.95,45.13,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1000m,w,Rep.Semifinals,1
1,9.44,54.46,5,9.54,54.96,2,9.68,,7,9.70,55.35,4,9.58,54.82,8,32.73,,6,9.77,55.32,3,9.58,54.71,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1000m,w,Rep.Semifinals,1
1,9.23,1:03.69,4,9.29,1:04.25,3,9.50,,6,9.42,1:04.77,5,9.59,1:04.41,8,17.76,,7,10.04,1:05.36,2,9.23,1:03.94,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1000m,w,Rep.Semifinals,1
1,9.27,1:12.96,4,9.35,1:13.60,3,9.44,,6,9.45,1:14.22,5,9.71,1:14.12,8,16.05,,7,10.60,1:15.96,2,9.27,1:13.21,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1000m,w,Rep.Semifinals,1
1,9.34,1:22.30,3,9.79,1:23.39,3,9.83,,6,9.90,1:24.12,5,9.97,1:24.09,,,,7,11.03,1:26.99,2,9.49,1:22.70,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1000m,w,Rep.Semifinals,1
1,9.67,1:31.97,3,9.96,1:33.357,4,10.10,,4,9.82,1:33.940,5,10.30,1:34.399,,,,6,11.06,1:38.055,2,9.95,1:32.65,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1000m,w,Rep.Semifinals,1
