START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,START_POS_9 POSITION,START_POS_9 LAP TIME,START_POS_9 ELAPSED TIME,season,competition,event,gender,round,race
6,22.63,22.63,1,21.78,21.78,9,23.23,23.23,2,21.94,21.94,5,22.46,22.46,7,22.81,22.81,4,22.28,22.28,3,22.12,22.12,8,23.01,23.01,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
6,21.34,43.97,1,21.31,43.09,8,20.98,44.21,2,21.16,43.10,5,21.22,43.68,7,21.35,44.16,4,21.20,43.48,3,21.19,43.31,9,21.37,44.38,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
7,21.01,1:04.98,2,20.98,1:04.07,6,20.49,1:04.70,1,20.86,1:03.96,5,20.95,1:04.63,8,21.02,1:05.18,4,20.91,1:04.39,3,20.94,1:04.25,9,21.14,1:05.52,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
8,17.64,1:22.62,3,17.51,1:21.58,7,17.54,1:22.24,2,17.41,1:21.37,6,17.51,1:22.14,9,17.59,1:22.77,5,17.53,1:21.92,4,17.42,1:21.67,1,14.96,1:20.48,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
8,10.54,1:33.16,3,11.02,1:32.60,7,10.72,1:32.96,2,10.58,1:31.95,6,10.69,1:32.83,9,10.50,1:33.27,4,10.70,1:32.62,5,11.04,1:32.71,1,9.50,1:29.98,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
8,9.83,1:42.99,4,9.80,1:42.40,7,9.90,1:42.86,2,9.53,1:41.48,6,9.87,1:42.70,9,9.82,1:43.09,3,9.65,1:42.27,5,9.77,1:42.48,1,9.28,1:39.26,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
8,9.60,1:52.59,4,9.45,1:51.85,7,9.65,1:52.51,2,9.59,1:51.07,6,9.48,1:52.18,9,9.60,1:52.69,3,9.46,1:51.73,5,9.48,1:51.96,1,9.44,1:48.70,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
7,9.57,2:02.16,4,9.93,2:01.78,9,9.91,2:02.42,2,10.13,2:01.20,6,9.76,2:01.94,8,9.55,2:02.24,3,9.97,2:01.70,5,9.91,2:01.87,1,9.76,1:58.46,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
7,10.57,2:12.73,4,10.67,2:12.45,9,10.58,2:13.00,2,11.09,2:12.29,6,10.66,2:12.60,8,10.58,2:12.82,3,10.67,2:12.37,5,10.66,2:12.53,1,10.21,2:08.67,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
7,12.16,2:24.89,5,12.21,2:24.66,9,12.10,2:25.10,3,12.25,2:24.54,6,12.20,2:24.80,8,12.16,2:24.98,4,12.20,2:24.57,2,11.98,2:24.51,1,10.49,2:19.16,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
4,12.32,2:37.21,5,12.67,2:37.33,7,12.48,2:37.58,8,13.12,2:37.66,2,11.70,2:36.50,9,12.77,2:37.75,6,12.84,2:37.41,3,12.38,2:36.89,1,10.92,2:30.08,2014-2015,ISU World Cup 2014/15 - Seoul (KOR),3000m,w,Heats,3
