START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
3,10.54,,4,10.62,10.62,7,11.07,11.07,5,10.77,10.77,2,10.46,10.46,1,10.26,10.26,6,10.92,10.92,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,m,Preliminaries,10
4,14.56,,5,14.64,25.26,7,14.52,25.59,1,13.79,24.56,3,14.52,24.98,2,14.50,24.76,6,14.55,25.47,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,m,Preliminaries,10
4,13.24,,5,13.20,38.46,7,13.14,38.73,1,13.41,37.97,3,13.24,38.22,2,13.33,38.09,6,13.12,38.59,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,m,Preliminaries,10
5,13.79,,6,13.69,52.15,7,13.71,52.44,1,13.95,51.92,2,13.78,52.00,4,13.96,52.05,2,13.41,52.00,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,m,Preliminaries,10
6,11.33,,5,11.27,1:03.42,7,11.28,1:03.72,3,11.34,1:03.26,2,11.16,1:03.16,4,11.25,1:03.30,1,10.97,1:02.97,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,m,Preliminaries,10
4,10.49,,6,10.73,1:14.15,7,10.59,1:14.31,4,10.69,1:13.95,3,10.68,1:13.84,1,10.37,1:13.67,2,10.77,1:13.74,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,m,Preliminaries,10
4,10.23,,5,10.15,1:24.30,7,10.39,1:24.70,6,10.50,1:24.45,2,10.19,1:24.03,3,10.38,1:24.05,1,10.18,1:23.92,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,m,Preliminaries,10
4,9.73,,5,9.70,1:34.00,7,10.14,1:34.84,6,9.67,1:34.12,2,9.70,1:33.73,3,9.75,1:33.80,1,9.67,1:33.59,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,m,Preliminaries,10
4,9.69,,5,9.72,1:43.72,7,10.46,1:45.30,6,9.63,1:43.75,2,9.70,1:43.43,3,9.71,1:43.51,1,9.70,1:43.29,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,m,Preliminaries,10
4,9.59,,6,9.72,1:53.44,7,10.88,1:56.18,5,9.55,1:53.30,2,9.59,1:53.02,3,9.59,1:53.10,1,9.62,1:52.91,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,m,Preliminaries,10
4,9.47,,6,9.64,2:03.08,7,11.36,2:07.54,5,9.57,2:02.87,2,9.18,2:02.20,3,9.21,2:02.31,1,9.12,2:02.03,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,m,Preliminaries,10
4,9.67,,6,10.20,2:13.28,7,12.09,2:19.63,5,9.66,2:12.53,1,8.80,2:11.00,3,8.92,2:11.23,2,9.03,2:11.06,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,m,Preliminaries,10
7,36.26,,5,10.41,2:23.69,6,12.81,2:32.44,4,9.95,2:22.48,1,9.08,2:20.08,2,8.99,2:20.22,3,9.21,2:20.27,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,m,Preliminaries,10
,,,5,11.77,2:35.462,6,24.25,2:56.699,4,10.29,2:32.775,1,9.38,2:29.466,2,9.35,2:29.570,3,9.69,2:29.961,2017-2018,Audi ISU World Cup 2017/18 - Dordrecht (NED),1500m,m,Preliminaries,10
