season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",3000mRelay,w,Heats,1,1,1,,306,ITALY,7317,ITA,4:13.473,Q
2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",3000mRelay,w,Heats,1,2,2,,309,NETHERLANDS,7322,NED,4:13.488,Q
2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",3000mRelay,w,Heats,1,3,3,,303,GREATBRITAIN,7331,GBR,4:14.743,
2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",3000mRelay,w,Heats,2,2,1,,307,JAPAN,7304,JPN,4:14.817,Q
2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",3000mRelay,w,Heats,2,3,3,,304,GERMANY,7313,GER,4:17.071,
2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",3000mRelay,w,Heats,3,1,3,,301,CANADA,7312,CAN,4:09.810,Q
2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",3000mRelay,w,Heats,3,2,1,,305,HUNGARY,7323,HUN,4:13.519,Q
2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",3000mRelay,w,Heats,3,3,2,,311,RUSSIA,7315,RUS,4:13.572,
2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",3000mRelay,w,Heats,4,1,2,,302,CHINA,7311,CHN,4:11.900,Q
2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",3000mRelay,w,Heats,4,2,3,,312,UNITEDSTATES,7316,USA,4:12.031,Q
2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",3000mRelay,w,Heats,4,3,1,,310,POLAND,7332,POL,4:31.394,
