season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,w,Heats,1,1,3,,313,HUNGARY,9043,HUN,4:23.099,Q,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,w,Heats,1,2,2,,326,POLAND,9041,POL,4:27.146,Q,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,w,Heats,1,3,4,,329,SLOVAKREPUBLIC,9304,SVK,4:37.327,,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,w,Heats,1,PEN,1,,303,BELARUS,9079,BLR,PEN,,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,w,Heats,2,1,4,,327,RUSSIA,9046,RUS,4:16.634,Q,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,w,Heats,2,2,3,,316,JAPAN,9047,JPN,4:16.912,Q,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,w,Heats,2,3,2,,309,CZECHREPUBLIC,9065,CZE,4:20.089,,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,w,Heats,2,4,1,,324,NETHERLANDS,9040,NED,4:27.598,,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,w,Heats,3,1,4,,305,CANADA,9049,CAN,4:22.560,Q,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,w,Heats,3,2,1,,319,KAZAKHSTAN,9149,KAZ,4:24.806,Q,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,w,Heats,3,3,2,,321,KOREA,9044,KOR,4:30.253,,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,w,Heats,3,4,3,,332,UKRAINE,9050,UKR,4:48.516,,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,w,Heats,4,1,2,,307,CHINA,9048,CHN,4:20.611,Q,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,w,Heats,4,2,3,,314,ITALY,9039,ITA,4:29.863,Q,
2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,3000mRelay,w,Heats,4,PEN,1,,333,UNITEDSTATES,9045,USA,PEN,,
