season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",3000mRelay,m,Heats,1,1,4,,719,UNITEDSTATES,7306,USA,4:23.062,Q,
2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",3000mRelay,m,Heats,1,2,2,,706,GREATBRITAIN,7320,GBR,4:23.633,Q,
2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",3000mRelay,m,Heats,1,3,3,,701,BELARUS,7399,BLR,4:37.881,,
2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",3000mRelay,m,Heats,1,4,1,,720,CHINESETAIPEI,7318,TPE,4:39.772,,
2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",3000mRelay,m,Heats,2,1,4,,710,JAPAN,7310,JPN,4:17.068,Q,
2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",3000mRelay,m,Heats,2,2,3,,703,CANADA,7309,CAN,4:20.678,Q,
2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",3000mRelay,m,Heats,2,3,2,,717,TURKEY,7789,TUR,4:41.312,,
2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",3000mRelay,m,Heats,2,4,1,,721,BOSNIA-HERCEGOVINA,8573,BIH,4:57.985,,
2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",3000mRelay,m,Heats,3,1,4,,707,GERMANY,7302,GER,4:16.162,Q,
2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",3000mRelay,m,Heats,3,2,2,,715,ROMANIA,7327,ROU,4:25.765,Q,
2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",3000mRelay,m,Heats,3,3,1,,702,BULGARIA,7392,BUL,4:34.463,,
2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",3000mRelay,m,Heats,3,PEN,3,,704,CHINA,7303,CHN,PEN,,
2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",3000mRelay,m,Heats,4,1,3,,716,RUSSIA,7307,RUS,4:17.203,Q,
2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",3000mRelay,m,Heats,4,2,1,,714,POLAND,7326,POL,4:20.348,Q,
2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",3000mRelay,m,Heats,4,3,2,,705,FRANCE,7319,FRA,4:31.124,,
2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",3000mRelay,m,Heats,5,1,1,,713,NETHERLANDS,7321,NED,4:20.659,Q,
2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",3000mRelay,m,Heats,5,2,2,,711,KAZAKHSTAN,7356,KAZ,4:23.412,Q,
2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",3000mRelay,m,Heats,5,3,3,,718,UKRAINE,7308,UKR,4:25.917,,
2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",3000mRelay,m,Heats,6,1,2,,712,KOREA,7300,KOR,4:16.538,Q,
2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",3000mRelay,m,Heats,6,2,3,,709,ITALY,7301,ITA,4:16.919,Q,
2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",3000mRelay,m,Heats,6,3,1,,708,HUNGARY,7324,HUN,4:21.773,,
