race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,1,,140,TobiasPIETZSCH,8735,GER,1:30.087,,
0,2,3,,168,SalvijusRAMANAUSKAS,9119,LTU,1:31.563,,
0,3,2,,200,LINChun-Chieh,8756,TPE,1:32.420,,
0,4,4,,190,BorLukaURLEP,8753,SLO,1:34.466,,
0,PEN,5,,108,WOLFGANGMatthias,8474,AUT,PEN,,
1,1,1,,188,ArtemKOZLOV,8638,RUS,1:33.737,,
1,2,3,,104,DenaliBLUNDEN,9081,AUS,1:34.613,,
1,3,4,,113,TarikOMERAGIC,8533,BIH,1:37.234,,
1,4,5,,142,TSANGKeiWingKelvin,7735,HKG,notime,,
1,PEN,2,,179,KrystianKORECKI,8505,POL,PEN,,
2,1,1,,212,BenjaminOH,9146,USA,1:34.426,,
2,2,2,,184,AttilaSZASZ,9130,ROU,1:35.438,,
2,3,5,,198,CHANGYin-Cheng,9138,TPE,1:36.648,,
2,4,6,,191,IvanMOJSILOVIC,8640,SRB,1:39.324,,
2,5,3,,116,LAHIMAKHAYIvan,8652,BLR,notime,,
2,PEN,4,,202,HazarKARAGOL,9009,TUR,PEN,,
3,1,1,,210,TRANAaron,8528,USA,1:31.369,,
3,2,3,,130,KOLENCMartin,8604,CRO,1:32.493,,
3,3,2,,208,StanislavOMELCHENKO,8524,UKR,1:33.143,,
3,4,4,,194,OliverRINGER,8755,SVK,1:38.568,,
3,5,5,,114,MakKRSTIC,8597,BIH,1:44.300,,
4,1,1,,205,FiratYARDIMCI,8520,TUR,1:36.001,,
4,2,5,,146,TIBORCZDaniel,9106,HUN,1:37.292,,
4,3,6,,133,AlexNIETO-GUARASA,9099,ESP,1:43.570,,
4,4,2,,164,TomassBAKEVICS,8489,LAT,1:52.451,,
4,PEN,4,,170,deVinWONG,8401,MAS,PEN,,
4,DNS,3,,197,JacobJANSSON,8589,SWE,DNS,,
5,1,3,,123,Marc-OlivierLEMAY,9093,CAN,1:36.453,,
5,2,2,,145,AndrasSZIKLASI,9053,HUN,1:36.598,,
5,3,1,,211,LucaLIM,9145,USA,1:37.177,,
5,4,5,,195,PatrikVELICKO,9136,SVK,1:41.765,,
5,5,4,,169,AriffRasydanMOHAMADFADZLI,8632,MAS,1:41.964,,
6,1,1,,177,JasonCLAGUE,8636,NZL,1:34.274,,
6,2,3,,185,AdamTIMAR,8637,ROU,1:34.972,,
6,3,2,,192,MichalCUJA,8754,SVK,1:35.530,,
6,4,6,,209,BogdanSIMONENKO,9141,UKR,1:35.769,,
6,5,4,,105,ANDERMANNDominic,8078,AUT,1:36.411,,
6,6,5,,132,RafaelHEREDIA-BARBA,9098,ESP,1:37.696,,
7,1,1,,111,PETREWard,8708,BEL,1:34.004,,
7,2,2,,138,JackBURROWS,9101,GBR,1:34.487,,
7,3,3,,182,TamasANTAL,9128,ROU,1:34.791,,
7,4,4,,166,KRUZBERGSRoberts,9117,LAT,1:35.276,,
7,5,5,,201,TSAIChia-Wei,9137,TPE,1:38.748,,
8,1,1,,102,AlexBRYANT,8577,AUS,1:31.552,,
8,2,3,,207,HANDEIVolodymyr,8525,UKR,1:31.991,,
8,3,2,,181,NIESCIERKarol,9126,POL,1:32.075,,
8,4,4,,115,ArtsemALIATDZINAU,9085,BLR,1:35.601,,
8,5,5,,147,SohanSudhirTARKAR,8569,IND,1:41.460,,
9,1,1,,151,MatteoPEDRANZ,8742,ITA,1:38.817,,
9,2,2,,204,DavutTAHTACI,8647,TUR,1:39.852,,
9,3,4,,129,NicolasLABORDE,9096,COL,1:40.287,,
9,4,5,,106,ANDERMANNNico,8720,AUT,1:42.001,,
9,5,6,,131,StephaneBARBERAPERALEDA,8731,ESP,1:42.649,,
9,PEN,3,,139,MOODYJonathan,9102,GBR,PEN,,
