season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,1,1,5,,20,VincentJEANNE,7890,FRA,2:36.136,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,1,2,2,,59,BartoszKONOPKO,7169,POL,2:36.590,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,1,3,3,,11,TsvetanTSANKOV,7431,BUL,2:37.889,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,1,4,1,,47,KRUZBERGSKarlis,8629,LAT,2:39.835,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,1,5,4,,14,MARTINICIvan,8700,CRO,2:42.297,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,1,6,6,,17,RogerVALLVERDUIMBERNON,8704,ESP,2:43.641,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,2,1,2,,31,SCHUBERTChristoph,7734,GER,2:33.580,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,2,2,3,,75,DmytroPOLTAVETS,7221,UKR,2:33.763,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,2,3,1,,58,WILCZYKSzymon,8472,POL,2:34.020,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,2,4,4,,68,JacobJANSSON,8589,SWE,2:36.738,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,2,5,6,,2,NihadBASIC,7889,BIH,2:38.265,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,2,6,5,,48,MaxBACKSTROM,8590,LUX,2:38.899,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,3,1,3,,46,RobertsZVEJNIEKS,8490,LAT,2:23.855,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,3,2,1,,30,TorstenKROEGER,7141,GER,2:23.908,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,3,3,5,,67,MatejFILIP,8641,SVK,2:25.769,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,3,4,4,,74,SerhiyLIFYRENKO,6826,UKR,2:26.263,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,3,5,2,,54,EinarAGDESTEIN,8701,NOR,2:27.185,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,3,DNS,6,,65,MiodragPOPOVIC,6244,SRB,DNS,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,4,1,2,,44,DavideVISCARDI,7440,ITA,2:32.185,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,4,2,1,,6,YauheniRYZHOU,7772,BLR,2:32.340,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,4,3,3,,26,PaulSTANLEY,7054,GBR,2:32.765,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,4,4,5,,15,MikkelKORITSLAND,8591,DEN,2:37.622,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,4,5,6,,16,VictorMARTINEZ-BLANCH,8703,ESP,2:38.669,,
2014-2015,ISU European Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,4,6,4,,66,JoseCAVALLI,7756,SUI,2:50.096,,
