race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,3,,17,SANTOSKristen,8527,USA,1:33.568,Q
0,2,5,,76,MANOILOVAKatrin,8539,BUL,1:34.437,q
0,3,2,,161,AMIRGALIYEVAAliya,9404,KAZ,1:34.579,
0,4,4,,89,DOLGOPOLOVAMariya,8096,UKR,1:35.116,
0,5,1,,153,KAYETalya,9748,GBR,1:38.313,
1,1,1,,29,MALISZEWSKANatalia,8437,POL,1:36.093,Q
1,2,3,,16,MASCITTOCynthia,9193,ITA,1:36.240,q
1,3,2,,110,LETAIJulie,9441,USA,1:37.900,
1,4,4,,33,FILIPOVALucia,9426,SVK,1:38.162,
1,5,5,,25,THOMSONKathryn,8465,GBR,notime,
2,1,2,,163,LEEYuBin,9112,KOR,1:31.360,Q
2,2,4,,4,vanRUIJVENLara,7710,NED,1:31.420,q
2,3,1,,66,WATANABEAoi,8744,JPN,1:32.182,
2,4,3,,141,VOLKOVITSKAYAAlyona,9372,KAZ,1:35.580,
3,1,4,,118,ZHANGYuting,9331,CHN,1:33.228,Q
3,2,3,,122,KONYAZsofia,7701,HUN,1:33.715,q
3,3,5,,65,WALTERBianca,7232,GER,1:33.950,
3,4,1,,96,IZAFATAVAHanna,9068,BLR,1:35.630,
3,5,2,,120,DAUDETGwendoline,9100,FRA,notime,
4,1,1,,79,STORMOWSKAKamila,9008,POL,1:39.659,Q
4,2,5,,35,UZAKOVAMariia-Mahdalyna,8759,UKR,1:40.345,q
4,3,4,,104,SOMOGYIBarbara,9392,HUN,1:42.219,
4,DNS,3,,2,CHOIMinJeong,8625,KOR,DNS,
4,DNS,2,,72,VIVIANIElena,7583,ITA,DNS,
5,1,4,,68,KIKUCHIMoemi,7584,JPN,1:33.224,Q
5,2,1,,26,CHARLESAlyson,8722,CAN,1:33.328,q
5,3,2,,47,vanKERKHOFYara,7422,NED,1:33.339,
5,4,3,,113,DANNEELAlexandra,9320,BEL,1:34.735,
5,5,5,,50,MONVOISINAurelie,8556,FRA,notime,
6,1,3,,71,KAMINAGAShione,8743,JPN,1:32.485,Q
6,2,2,,45,ZHANGChutong,9452,CHN,1:32.620,q
6,3,5,,57,ZAKHAROVAEvgeniya,7715,RUS,1:32.992,
6,4,1,,58,DALRYMPLEGeorgie,9407,NED,1:34.648,
6,5,4,,112,IVANDICMaja,9233,CRO,1:39.820,
7,1,2,,6,PROSVIRNOVASofia,8509,RUS,1:33.950,Q
7,2,4,,20,QUChunyu,8071,CHN,1:34.132,q
7,3,3,,42,ASCICValentina,8603,CRO,1:47.322,
7,4,1,,31,MAZURNicole,8421,POL,notime,
7,PEN,5,,14,CHRISTIEElise,7135,GBR,PEN,
8,1,3,,117,DOAKRikki,9601,CAN,1:35.223,Q
8,2,4,,9,VALCEPINAMartina,7159,ITA,1:35.238,q
8,3,1,,52,MALAGICHEmina,7989,RUS,1:35.371,
8,4,2,,34,PENCHEVAZornica,8461,BUL,1:37.834,
