race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,2,,156,NOHJinkyu,7749,KOR,1:27.898,Q
0,2,4,,141,YuzoTAKAMIDO,7158,JPN,1:28.287,Q
0,3,3,,128,JackWHELBOURNE,7437,GBR,1:28.292,QC
0,4,1,,113,CHENDequan,7918,CHN,1:28.999,QC
1,2,3,,107,HAMELINCharles,6610,CAN,1:28.151,Q
1,3,1,,142,YumaSAKURAI,6182,JPN,1:28.683,QC
1,4,4,,139,DOTTITommaso,7604,ITA,1:29.051,
2,1,4,,116,YUYongjun,7824,CHN,1:33.157,Q
2,2,2,,106,MichaelGILDAY,6195,CAN,1:33.272,Q
2,3,3,,138,CONFORTOLAYuri,6561,ITA,1:33.371,QC
2,PEN,1,,174,J.R.CELSKI,7279,USA,PEN,
3,1,1,,155,SINdaWoon,8035,KOR,1:27.983,Q
3,2,2,,119,MaximeCHATAIGNIER,6106,FRA,1:28.079,Q
3,3,3,,114,SONGWeilong,7156,CHN,1:31.788,ADV
3,PEN,4,,163,KNEGTSjinkie,7352,NED,PEN,
