season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2012-2013,"2013 ISU European Championships, Malmo (SWE)",5000mRelay,m,Heats,1,1,1,,407,ITALY,7301,ITA,6:51.366,Q,
2012-2013,"2013 ISU European Championships, Malmo (SWE)",5000mRelay,m,Heats,1,2,4,,404,GREATBRITAIN,7320,GBR,6:51.379,Q,
2012-2013,"2013 ISU European Championships, Malmo (SWE)",5000mRelay,m,Heats,1,3,3,,402,BULGARIA,7392,BUL,7:15.518,,
2012-2013,"2013 ISU European Championships, Malmo (SWE)",5000mRelay,m,Heats,1,4,2,,409,POLAND,7326,POL,7:20.960,,
2012-2013,"2013 ISU European Championships, Malmo (SWE)",5000mRelay,m,Heats,2,1,1,,408,NETHERLANDS,7321,NED,6:51.868,Q,
2012-2013,"2013 ISU European Championships, Malmo (SWE)",5000mRelay,m,Heats,2,2,2,,406,HUNGARY,7324,HUN,6:52.657,Q,
2012-2013,"2013 ISU European Championships, Malmo (SWE)",5000mRelay,m,Heats,2,3,3,,403,FRANCE,7319,FRA,6:52.760,q,
2012-2013,"2013 ISU European Championships, Malmo (SWE)",5000mRelay,m,Heats,3,1,2,,410,RUSSIA,7307,RUS,6:54.145,Q,
2012-2013,"2013 ISU European Championships, Malmo (SWE)",5000mRelay,m,Heats,3,2,4,,405,GERMANY,7302,GER,6:54.443,Q,
2012-2013,"2013 ISU European Championships, Malmo (SWE)",5000mRelay,m,Heats,3,3,1,,411,UKRAINE,7308,UKR,7:07.200,q,
2012-2013,"2013 ISU European Championships, Malmo (SWE)",5000mRelay,m,Heats,3,4,3,,401,BELARUS,7399,BLR,7:22.180,,
